,California State Assembly,
Assembly Member,Kansen Chu,"Assemblymember Kansen Chu was elected in November 2014 to represent California?s 25th Assembly District, which includes the Alameda County communities of Fremont and Newark, and the Santa Clara County communities of Milpitas, San Jose and Santa Clara.

Kansen Chu has served on the San Jose City Council since June 2007. He was the first Chinese American to serve on the region?s City Council. During this time, he made public health and the environment top priorities, passing legislation to require citywide green building standards, ban the use of single-use plastic bags. He also promoted the installation of automatic heart defibrillators across San Jose.

While serving on the City Council, Chu worked with community members to create the North San Jose Neighborhood Plan, established the Berryessa Business Association, helped to start the Berryessa Farmers Market, and moved the long-awaited Commodore Park project forward. He serves on 21 local and regional governing committees and represents San Jose on the League of California Cities and Association of Bay Area Governments.

A long-time advocate for education, Chu was elected to the Berryessa School Board in 2002. As a school boardmember, he worked to bolster public education materials, strengthen curriculum and improve public access to school board meetings.

Born in Taiwan, Chu moved to the United States in 1976 as a graduate student. He has a Master's in Electrical Engineering from Cal State Northridge, and worked as a Microdiagnostics Microprogrammer at IBM for 18 years. He also owned and operated Ocean Harbor Chinese Restaurant for 16 years.

Chu and his wife Daisy have been married for 35 years. They have two adult children, Ann and Walt, a son-in-law Steve Blomquist, and 21-month-old granddaughter Kimberly Chu Blomquist."
Assembly Member,Ken Cooley,"Ken was elected to the California State Assembly in November, 2012. He started his elective public service career on Rancho Cordova?s first City Council upon its formation in 2002. He was re-elected in 2004 and 2008. He also served as mayor in 2005 and again in 2010 when his city was recognized as an All-America City.

Rancho Cordova?s incorporation helped turn the community around. It allowed the city to focus on reducing crime and creating local jobs after Mather Air Force Base?s traumatic 1996 closure. 10 years of cityhood have established a vibrant community. Since 2003, an estimated 10,000 new jobs have been added. One million square feet of new commercial buildings have been built.

Ken?s commitment to fiscal conservatism, refined over an 18-year private sector career with State Farm Insurance, helped Rancho Cordova to thrive despite the economic recession. He has experience balancing a government budget yearly and maintaining surpluses each year as a local elected official. While fiscal strength is difficult for all levels of government today, Ken is very proud that his city received a two-level credit rating increase in 2009, despite the recession. Rancho Cordova has grown into Sacramento County?s number two job center and the city now includes a wide array of jobs that span professional, business and construction services.

Since being elected into the California State Assembly, Ken has worked hard to accomplish several successes for his district. He secured the inclusion of hiring credits for Local Agency Military base Recovery Areas (LAMBRAs), protecting hiring tools for businesses on our local bases, McClellan and Mather. Ken?s efforts in 2013 helped speed 600 jobs in the Sacramento Region by managing legislation in the Assembly to get Covered CA on track.

In addition to creating jobs in his district, Ken has focused his attention on important state issues such as regulatory reform. He has fought to save our State?s mobile field hospitals and has been a leader in child abuse prevention and foster care issues.

Ken is the Co-Chair of the Special Legislative Committee on Ethics. He is Chair of the Select Committee on Foster Care, and serves on the Select Committee on Asia/California Trade and Investment Promotion, Select Committee on Civic Engagement, Select Committee on Local Emergency Preparedness, Homelessness and the Select Committee on Science, Technology, Engineering and Math Education. He is also a member of the Committees on Governmental Organization, Insurance, Rules, Public Employees, Retirement and Social Security, and serves on the Alfred E. Alquist Seismic Safety Commission as well as the Lieutenant Governor?s California Commission of Economic Development.

Ken and his wife Sydney have been married for 37 years and have lived in the east Sacramento County community of Rancho Cordova since 1977. It is where their sons were born, grew up in local schools, sports and Scouting and live with their families."
Assembly Member,Jim Cooper,"In November 2014, Jim Cooper was elected to the California State Assembly to represent Assembly District 9, which includes the cities of Sacramento, Elk Gove, Galt, and Lodi. On his first day in office, Cooper was named to Speaker Toni Atkins? leadership team as Assistant Majority Whip. Cooper serves on the Assembly Agriculture Committee, Budget Committee, Budget Subcommittee No. 4 on State Administration, Governmental Organization Committee, Insurance Committee, and Privacy and Consumer Protection Committee. Cooper also serves as Chair of the Assembly Select Committee on Community Law Enforcement Relations and Responsibilities.

Assemblymember Cooper has an extensive background in law enforcement and local government.

Before joining the Assembly, Cooper served as a Captain in the Sacramento County Sheriff?s Department for 30 years. As a former Commander of the Sacramento Valley High Tech Crimes Task Force, he focused on apprehension of child predators and identity thieves and oversaw dramatic increases in prosecution and arrests of child predators.

He has earned numerous awards, including the Bronze Star for Bravery for actions during the 1991 ?Good Guys? hostage crisis. He also spent three years working as the Department?s spokesperson. Cooper is a lifetime member of the California Narcotics Officers Association and his law enforcement career includes nine years of working undercover to fight gang violence and drug trafficking.

Combining his passion for young people with public safety, Cooper created a youth drug prevention curriculum, teaching students about the dangers of narcotics and helping parents notice the warning signs of drug use and gang involvement. He also taught Criminal Justice at local community colleges and universities.

Cooper has spent the last 14 years serving the people of Elk Grove. He was the city?s first mayor and worked to establish solid governing values, balance the city?s budget, keep neighborhoods safe and make the city one of the greenest in the region. He used his law enforcement background to help create Elk Grove?s first gang and narcotics unit, as well as a local 911 Communications Center.

Community service is a significant part of Assemblymember Cooper?s life. He has served on the boards of the Boys & Girls Club, Big Brothers Big Sisters, WIND Youth Services, and the Sacramento Children?s Receiving Home.

Cooper grew up in Sacramento and is a graduate of the West Point Leadership Academy and FBI National Academy. He earned a Master?s degree in Organizational Leadership from Saint Mary?s College."
Assembly Member,Matt Dababneh,"Matt Dababneh, former Chief of Staff to Congressman Brad Sherman, was elected to the California State Assembly in November 2013. He represents the 45th Assembly District communities of Bell Canyon, Calabasas, Canoga Park, Chatsworth, Encino, Hidden Hills, Northridge, Reseda, Sherman Oaks, Tarzana, West Hills, Winnetka, and Woodland Hills.

A fourth-generation Valley resident, Dababneh was born and raised in the San Fernando Valley. He graduated from the University of California, Los Angeles with a degree in Political Science and History.

Upon graduating from UCLA, Dababneh worked on John Kerry's presidential campaign, where he was inspired to pursue a career in public service. For eight years, he served as the District Chief of Staff and Senior Aide to Congressman Brad Sherman where he assisted thousands of Valley residents and businesses with federal and local concerns. Dababneh worked with seniors needing help with their Medicare and Social Security benefits, homeowners struggling to avoid foreclosure on a family home, and businesses trying to resolve disputes with the IRS.

Since being elected to the State Assembly, Dababneh has focused on bringing jobs to the Valley, making it easier for families to purchase a home, improving access to healthcare and expanding educational opportunities for college age students.

In 2014 Dababneh was appointed as an Assistant Majority Whip and in January of 2015 he began serving at the Chairman of the Banking and Finance Committee. As Chairman he plans to focus on increasing access to capital in underserved communities, financial literacy in younger generations, increasing consumer protections and combating predatory lending. Dababneh also serves on the Revenue and Taxation, Insurance and Privacy and Consumer Protection Committees.

Dababneh is also an active community volunteer and has served on the board of several local non-profit organizations, including the Hope of the Valley Rescue Mission, the Valley Cultural Center, Phoenix House Juvenile Drug Rehabilitation Academy and the House of Hope. Dababneh?s volunteer work inspires him to help the struggling gain financial independence and improve their quality of life."
Assembly Member,Brian Dahle,"Assemblyman Brian Dahle is a third-generation farmer and business owner, first elected to the California Assembly in 2012.
 
Brian?s family history in Northern California dates back to the original homestead farm in the 1930s in the Tule Lake area of Siskiyou County. The present Lassen County farm was purchased in the 1940s by Brian?s grandparents and has remained in the family. When his parents retired, Brian and his wife, Megan, purchased the farm.
 
In addition, Brian and Megan Dahle operate and manage Big Valley Seed and Big Valley Nursery.
 
Since he first won election to the Lassen County Board of Supervisors in 1996, Brian has taken a leadership role in helping strengthen rural counties and rural economies. He is a past Chairman of Rural County Representatives of California, where he was a leading defender of the North State?s private property and water rights. 
 
After serving four terms on the Board of Supervisors, he is very proud of leaving Lassen County with no debt.
 
Brian worked for years with the Quincy Library Group, a pioneering attempt to forge a community-driven consensus to resolve conflicts over the management of Northern California?s national forests ? an effort that the U.S. Congress embraced through the bipartisan Herger-Feinstein Quincy Library Group Forest Recovery Act. He served seven years on the board  of the Sierra Nevada Conservancy, which promotes the environmental, economic and social health of the Sierra Nevada region, the source of the majority of California?s water and timber as well some of its greatest recreational and tourism attractions.
 
His background and experience make him a passionate advocate in the Legislature for commonsense management of California?s forests and water supply, and a believer in the principle that we can protect the environment while sustaining rural communities through balanced natural resource use.
 
In the Legislature, he has focused his energy on bringing back jobs while voting against job-killing regulations, fees and taxes. He worked across party lines to save rural hospitals from previously enacted budget cuts that would have closed down our skilled nursing facilities, and he secured millions of dollars for small rural schools for upgrades that reduce energy costs and put people in the district to work fixing aging school buildings.  
 
He also secured the passage of AB 744, a bill that streamlines thinning of forest fuels in the Sierra Nevada, with the goal of fostering healthier, more fire-resilient forests and protecting our communities and environment from wasteful and deadly catastrophic wildfires. In 2014, Brian was named Legislator of the Year by both the California Biomass Energy Alliance and Forestry Industry.
 
Brian continues to work for job creation and economic development in the rural North State and throughout California, pushing policies that keep families on their farms, protect water rights and safeguard the natural resources.
He?s blessed with the love of a supportive wife and three beautiful children."
Assembly Member,Tom Daly,"Tom Daly was elected in November of 2012 to represent California's 69th Assembly District, which includes the cities of Santa Ana, Anaheim, Garden Grove, and Orange.

Daly was born and raised in the 69th District.  He first sought elective office in 1986, winning election to the Board of Trustees of the Anaheim Union High School District. Since that victory, Daly has won eight consecutive elections, including serving as Mayor of Anaheim from 1992-2002 and Orange County Clerk-Recorder from 2002-2012. 

As Mayor of Anaheim, Daly oversaw major public and private investments in the City, including the expansion of the Resort Area, leading to the creation of thousands of jobs.  At the same time, Daly also served on the Board of Directors of the Orange County Transportation Authority, where he helped oversee a $3 billion dollar improvement program for road and transit projects in every community in Orange County.  Later, as the elected countywide Clerk-Recorder, Daly opened two branch offices for the convenience of the public, saving the office's customers over one million miles of driving every year.

In the State Legislature, Assemblymember Daly is focused on ensuring a balanced budget with a healthy reserve, maintaining and improving our statewide infrastructure and reducing bureaucratic red tape while promoting government efficiency.  

Daly has three children and resides in Anaheim with his wife, Debbie.



Achievements from First Term in the State Assembly (2012-2014)

Modernizing and Investing in our Roads and Highways 

Daly led the successful passage of a bill that enables an innovative, cost-savings approach to freeway improvement projects statewide.  The Orange County Transportation Authority says this new law will save Orange County taxpayers approximately $100 million and speed up the project completion date by two to three years on the 405 freeway improvement project.  For this effort, Daly was honored as ?Legislator of the Year? by the California Transportation Foundation and Mobility 21 (Southern California transportation group)

Reducing Bureaucratic Red-Tape

Daly championed an effort to reduce processing delays for business filings in the Secretary of State?s Office.  The Legislature found that basic paperwork for starting a business was taking 6-8 weeks to be processed. That?s unacceptable, especially when it only takes Texas and New York 5 days.  Under Daly?s leadership, the Legislature acted quickly and insisted on a reasonable five-day turn-around. The processing time is now down to five days.

Supporting our Veterans

Daly was a principal co-author of the bill signed by Governor Brown to create an Orange County Veterans Cemetery.

Daly also led the charge to direct an additional $6 million to help California service veterans speed the processing of claims through the U.S. Department of Veterans Affairs."
Assembly Member,Bill Dodd,"Bill Dodd was elected in November of 2014 to represent California?s 4th Assembly District. The district includes all or portions of Yolo, Napa, Sonoma, Lake, Solano, and Colusa and Counties.

Prior to his election to the Assembly, Dodd served on the Napa County Board of Supervisors from 2001 to 2014. Among his accomplishments was the successful competition of Napa?s flood control project, which protects thousands of properties from flooding, restored 900 acres of environmental wetlands and created $1 billion of investment in local businesses.

While on the Board of Supervisors, Dodd also had an active role on numerous boards and commissions, including the Napa County Flood Control and Water Conservation District and the Metropolitan Transportation Commission, which is the chief transportation planning and coordinating agency for the Bay Area. In that role, Dodd was instrumental in securing $76 million for the expansion of the Jameson Canyon freeway, which has significantly relieved traffic congestion between Solano and Napa Counties.

Dodd is also heavily involved in local charities. Dodd was honored in 2014 by the Napa Chamber of Commerce as its ?Citizen of the Year? for raising over $3 million for local charities to help those individuals who need it most. As a founder of the Wolfe Center, a youth drug and alcohol rehabilitation facility, and a founding director of the Napa County Children?s Health Initiative, Dodd led many successful drives for these organizations.

Dodd graduated from California State University, Chico. Prior to his time in elected office, Dodd was a successful small business owner and manager for nearly 25 years. He owned and operated one of the largest full-service Culligan Water operations in California and served as president of the water quality industry?s state and national trade associations.

Dodd and wife Mary reside in Napa and have five grown children and four grandchildren."
Assembly Member,Dr. Susan Talamantes Eggman,"A leader with decades of experience in public service and community-building, Dr. Susan Talamantes Eggman was elected in November 2012, and re-elected in 2014, to represent the 13th Assembly District, which draws together the San Joaquin Delta communities of Stockton, Tracy, Thornton and Mountain House.

Susan grew up on her family?s small almond orchard and apiary in Turlock. It was a farm-to-market family business, with Eggman?s father and brother tending the orchard and hives, her mother keeping the books, and later her partner, Renee Hall, bottling and selling the honey at farmers markets in San Francisco. Though much of the open space and farmland Eggman explored on horseback as a child has since been paved over, her family is still farming.  Continuing three generations of growing and beekeeping in California?s Central Valley, with more than 40 acres of almonds and 2000 beehives, the Eggman family is connected to a great variety of agriculture, including tree fruit and livestock.

Susan joined the U.S. Army out of high school and served four years as a medic. After her service, she attended California State University, Stanislaus, where she completed a bachelor?s degree in psychology and a master?s degree in social work. She worked as a mental health provider and medical social worker before completing a Ph.D. at Portland State University. An associate professor of social work at California State University, Sacramento, Susan has taken a leave of absence to serve on the State Assembly. A lifelong learner, Susan passed the Licensed Clinical Social Worker examination shortly after assuming office.

The chair of the Assembly Democratic Caucus, Susan also serves on the committees on Agriculture, Appropriations, Business, Professions and Consumer Protection, and Utilities and Commerce. She was elected in January 2015 to serve as the chair of the California LGBT Caucus.

A former member of Stockton?s City Council ? and the first Latina elected to that office ? Susan is committed to policies that advance the good of her whole community, including improving access to health care, expanding educational opportunities and addressing her district?s critical need for resources to address crime. She has a proven record of working across partisan divides to find working solutions to real problems.

Susan and Renee, her partner for more than 30 years, live in Stockton?s Victory Park neighborhood, where they are raising Renee?s niece, Eme."
Assembly Member,Jim Frazier,"Jim Frazier, a local small-business owner, was elected to the California State Assembly in November, 2012 to represent the 11th Assembly District. The 11th District encompasses portions of Solano, Contra Costa and Sacramento counties and includes the following cities, towns and areas: Antioch, Bethel Island, Birds Landing, Brentwood, Byron, Collinsville, Discovery Bay, Fairfield, Isleton, Knightsen, Locke, Oakley, Pittsburg (partial), Rio Vista, Suisun City, Travis AFB, Vacaville and Walnut Grove.

Frazier became involved in public service after a family tragedy. On December 16, 2000, his two daughters were in a head-on auto collision caused by black ice on their way to Lake Tahoe. The accident was fatal for his oldest daughter, and left his younger daughter in critical condition. Grief-stricken, Frazier and his wife Janet worked to help prevent other families from undergoing the same painful experience. In their research, they learned that there had been 143 accidents and numerous fatalities on the same two-mile stretch where his daughters? accident had occurred. Jim and Janet succeeded in convincing Caltrans to widen the median and install a new pavement that would prevent black ice from forming on that part of the highway. This unfortunate tragedy sparked Frazier?s interest in highway safety and transportation infrastructure improvements, which led to his further involvement in public service.

In 2008, Frazier was elected to the Oakley City Council after serving on the city?s Planning Commission and as a Commissioner on the Contra Costa Transportation Authority?s Citizen Advisory Committee. He later served as the Mayor of Oakley from 2011-2012. As a local government official, Frazier delivered $83,000,000 for Highway 4 Bypass improvements, creating 1,400 new jobs; $50,000,000 to fund highway 160 improvements, creating 700 new jobs; and $33,000,000 to fund the Sand Creek Interchange. Frazier not only made his mark in transportation, he also fought for the successful opening of a first-of-its kind medical clinic in Oakley and helped build the area?s first ?all-abilities? playground for children with special needs.  Frazier also served as Chair of TRANSPLAN, was Chair of the State Route 4 Bypass Authority, and a member of the E-BART Advisory Committee. He received the Oakley Citizen of the Year Award, the Threads of Hope Award, and the Bay Area Jefferson Award for Public Service.

Upon joining the Legislature in 2012, Frazier was appointed as Chair of the Assembly Accountability and Administrative Review Committee by Speaker John A. P?rez. He was also appointed as a member on the Assembly?s Insurance Committee, Transportation Committee, Water, Parks and Wildlife Committee, and the Select Committee on Protecting California?s Food Safety Programs. Frazier also serves as an Advisory Member of the State Public Works Board.
 
Since being elected, Frazier has made it his mission to be accessible to all of his constituents.  To accomplish that, he has held numerous community coffees and mobile district offices.  Frazier also continues to be a strong advocate for the Sacramento-San Joaquin Bay Delta. As a member of the Delta Protection Commission, his continuous efforts are focused on the protection of fish and wildlife, safeguarding farmers and their flourishing agricultural industry, the promotion of water conservation and improved water quality, the responsible management of land use and development, and the preservation of the environmental and economic viability of the Delta. 
 
In his first year of office, five of Frazier?s bills were signed into law by the Governor:
 
AB 287: This bill allows the names of veterans who were not included on the original California Vietnam Veterans Memorial in Capitol Park to be added, including veterans who have died from injuries or illness directly related to their service in the war.
 
AB 417: This bill promotes using bikes as an alternative means of transportation by simplifying the approval process for bicycle transportation plans. 

AB 513: This bill helps California recycle used tires safely and efficiently by combining them with asphalt binder to create a road paving material. This road paving material has been proven to reduce road noise, to be strong and durable, save money, and provide an efficient way to recycle tires.

AB 1070: This bill makes technical changes to ensure that project investments in transportation bonds comply with state, federal, and environmental requirements as projects are planned and built.

AB 1336: This bill protects employees from employer abuses, and protects the public by ensuring that construction is being done by workers with appropriate training and that they are being properly compensated for their work.
 
In the coming years, Frazier?s priorities will include the ongoing protection of the Delta, repairing the infrastructure of roads and highways, limiting hikes in college tuition, maintaining funds for local public safety, restoring funding towards special needs programs and encouraging job creation.

Assemblymember Frazier resides in Oakley with his wife of 35 years, Janet Frazier, and his beloved black Labrador, Rocky."
Assembly Member,Beth Gaines,"Beth Gaines was elected to the Assembly in 2011 and represents the people of 6th Assembly District, which includes portions of Placer, El Dorado, and Sacramento counties.
 
Beth was born and raised in Sacramento County, graduated from La Sierra High School in Fair Oaks, and then went on to study at the University of California, Irvine.
 
She currently co-owns Gaines Insurance, a family operated business that she runs with her husband State Senator Ted Gaines.  Previously, Beth worked in sales and marketing for a medical supply company and managed the local branch of a national workforce employment firm.  Beth has also previously served as a teacher for Placer County pre-schoolers.
 
Assemblywoman Gaines currently holds the position of Whip in the Assembly Republican Caucus. Beth is also the Vice Chair of the Insurance Committee and Housing and Community Development Committee, and serves on the Accountability and Administrative Review Committee, Water, Parks and Wildlife Committee, and Joint Legislative Committee on Emergency Management.
 
Shortly after her first election, she founded the Beth Gaines Northern California Women?s Forum. Now in its 5th year, the NCWF brings together professional women, community advocates volunteers, wives, mothers and students from around the region to foster and promote women in business and in the community. This non-partisan event was created to share a positive message of how women can and have succeeded as leaders and partners for change in their communities and in their personal lives.
 
Recently, Beth has been named to the Board of Directors of Women in Government, a national, non-profit, non-partisan organization that provides leadership opportunities, networking expert forums, and educational resources to women state legislators.
 
Beth has also volunteered her time for numerous charities and groups, including the Child Abuse Prevention Council and Acres of Hope. She has also served as a Sunday School Teacher at Bayside Church in Granite Bay and is a member of the local chapter of the Federation of Republican Women.
 
Beth loves the outdoors and the recreational opportunities provided in the 6th Assembly District. She learned to hunt at the age of 12 and enjoys water skiing with her family.
 
Beth and Ted live in El Dorado Hills, where they raised six children now between 13 and 26 years old.  They have been married for 30 years."
Assembly Member,James Gallagher,"Elected to the California State Assembly in 2014, Assemblyman James Gallagher is honored to represent the residents of the 3rd Assembly District. The district includes Butte, Tehama, Yuba, Sutter, Glenn, and Colusa Counties.  As a newly elected legislator, James has already been recognized for his leadership by his selection as Deputy Republican Floor Leader.  He also serves as the vice-chair of the Assembly Agriculture Committee; and is a member of the Assembly Appropriations, Environmental Safety & Toxic Materials, and Judiciary Committees. 

James has an extensive resume of public service prior to his election to the State Assembly. For the last six years, he has proudly served his community as a member of the Sutter County Board of Supervisors.   During his tenure there, he worked on a multitude of regional committees which have given him exposure to numerous issues facing his constituency.  His leadership and outside-the-box thinking helped in implementing public pension reform, streamlining public services and fees, and heading the effort to improve our levees and protect citizens from devastating floods.

James is especially proud of his successful effort to stop a plan to build the Cherokee Canal bypass, which would have taken thousands of acres of productive agricultural land out of production.    He also led the fight to reform federal floodplain regulations that impose burdensome insurance premiums and building restrictions on Sacramento Valley businesses and family homes.

James earned his Bachelor of Arts Degree at UC Berkeley, where he was Editor-in-Chief of The Patriot, a nationally recognized conservative news magazine, and was elected to the student senate.   Upon graduation, he served in the prestigious Assembly Fellowship Program in Sacramento.  During the program he gained experience in state government, and worked on issues ranging from increasing timber harvest to improving our community college system.  Upon completion of the fellowship, he obtained his law degree from UC Davis, graduating at the top of his class.  Gallagher is a partner in his family?s farming business as well as a practicing attorney, focusing on agricultural law.

James is married to his high school sweetheart Janna, and together they have three young children.  He is the sixth generation of an Irish immigrant farming family that first settled in Sutter County in the late 1800s.  James and Janna make their home in Sutter County where they are raising the seventh generation of Gallaghers."
Assembly Member,Cristina Garcia,"Assemblymember Cristina Garcia was elected to the state Assembly in November 2012 and re-elected in 2014, representing California?s 58th Assembly District, which includes the cities of Artesia, Bellflower, Bell Gardens, Cerritos, Commerce, Downey, Montebello, Pico Rivera and Norwalk.
In 2014, she became a vital part of Assembly Speaker Toni Atkins new leadership team when she was named Assistant Majority Floor Leader. She was also elected Vice-Chair of the Legislative Women?s Caucus. In addition, Assemblymember Garcia currently serves on the following legislative committees: Government Organization, Judiciary, Ethics, Water Parks and Wildlife, Natural Resources and Utilities and Commerce.

In addition to being a legislator, Assemblymember Garcia is also a Commissioner on the Commission on the Status of Women and Girls, working at the forefront of making impressive change for California?s women and girls.

Before being elected to public office, Cristina Garcia had already staked her claim as a warrior for ethical conduct in local and state government. When the City of Bell corruption scandal broke, gaining national attention, Bell residents turned to Cristina to take action. She worked with concerned citizens to form the Bell Association to Stop the Abuse (BASTA), a local advocacy organization that forced Bell?s corrupt officials out of office and ushered in accountability and transparency for the first time in the city?s history.

As a legislator, under a black cloud of corruption that hung over the state Capitol, Assemblymember  Garcia introduced a wide ranging ethics and transparency package of bills, the ?Political Conduct, Ethics and Public Trust Acts of 2014,? written to reform our political structure and help to restore the public?s trust in their government. Through the political turmoil, she succeeded in her legislative efforts and was rewarded when Governor Jerry Brown signed five of her reform measures into law.

AB 1673 - Eliminating Influence Peddling: prevent lobbyists from hosting political fundraisers at their homes and offices.

AB 1666 - Penalties & Bribes: would double the existing restitution fines amounts and prohibit the use of campaign funds to pay a restitution fine under this section.

AB 1692 - Personal Use of Campaign Funds: to prevent campaign funds from being used to pay for fines that are the result of abuse of personal use of campaign funds laws.

AB 1596 - Vote by Mail:  require all vote-by-mail applications, when completed, to be mailed directly to the county registrar?s office and not to middlemen or political campaign organizations.

AB 1596 was Assemblymember Garcia?s ?There Ought to be a Law? contest winner in 2014.

AB 2040 - Detailed Disclosure of Government Compensation: requires salary details to be publically disclosed on the local government websites. 

Equal to being a tireless activist for higher ethical standards in government, Cristina is a passionate advocate on issues concerning Women and Children. Today, as a statewide leader, Assemblymember Garcia continues her efforts to protect and educate our state?s children and is dedicated to empowering women on all levels. This includes being a mentor to encourage more women to run and hold positions in public office.

Assemblymember Garcia launched her Young Legislator?s program in 2014 to mentor high school students in her district to become the leaders of tomorrow. The Young Legislators are given hands-on experience, working within their communities, as they participate in local events hosted by Assemblymember Garcia?s district office. Young Legislators who successfully complete the program travel to the State Capitol in Sacramento where they participate in bill development, mock committee hearings and a floor session in the State Assembly chambers.

A math teacher for thirteen years prior to joining the Assembly, Cristina taught  statistics at the University of Southern California, mathematics at Los Angeles City Community College and taught middle school and high school mathematics through the Jaime Escalante Program at East Los Angeles Community College and at Huntington Park High School.

As a teacher, Cristina understood the damage to students that bullying created, on both an emotional and physical level. This inspired her in 2012 to author AB 256, Cyber-Bulling legislation giving educators the authority to discipline students who engage in cyber bullying - harassment by electronic means ? on, or away, from the school campus. AB 256 was signed into law by Governor Brown in 2013.

Cristina lives in the in the Southeast Los Angeles community of Bell Gardens, where she was raised and attended local public schools. She went on to earn a Bachelor?s Degree from Pomona College, a Master?s Degree and a Secondary teaching credential from Claremont Graduate University and is presently a doctoral candidate at USC.

Cristina has been recognized by California Forward with the distinguished California Forward Thinkers Award, previously earned the Distinguished Woman of the Year Award from the California State Assembly. In 2013 the Latino Journal & CAFê de California, presented the Spirit of Latina Award to Assemblymember Garcia for her ?exemplary work to strengthen California?s Democracy and advance the representation of Latinas in Public Service.?"
Assembly Member,Eduardo Garcia,"Eduardo Garcia was elected in November 2014 to represent California?s 56th Assembly District, which includes cities and unincorporated communities in eastern Riverside County and Imperial County, including Blythe, Brawley, Bermuda Dunes, Calexico, Calipatria, Cathedral City, Coachella, Desert Hot Springs, El Centro, Holtville, Imperial, Indio, Mecca, Oasis, North Shore, Salton Sea, Thermal, Thousand Palms, and Westmorland.

Garcia was first elected to the Coachella City Council in November 2004. In 2006, at the age of 29, he became Coachella?s first elected Mayor. Under his leadership, the City of Coachella has transformed into an emerging social, economic, political and cultural center.

Garcia?s administration set a strong foundation for the city?s growth by directing large city-wide park renovation, expanding green space, building, repairing and resurfacing streets, and a major overhaul of the city?s Downtown District.

As Mayor, Garcia worked with leaders and agencies to procure outside grants and regional funding for several high profile capital improvement projects for the city. In fact, the city of Coachella invested over $200 million in public works projects during Garcia?s tenure.

Garcia worked to expand health and wellness programs in his community. His work to build a healthier Coachella through a partnership with the Flying Doctors and the Clinton Foundation earned recognition from the California Endowment for its exemplary model.

A graduate of local public schools, Garcia attended Coachella Valley High School and the University of California, Riverside. He also completed the ?Senior Executives in State and Local Government? Public Administration program from the John F. Kennedy School of Government at Harvard University and recently earned his Masters Degree from the University of Southern California School of Policy, Planning and Development.

He is a proud father, husband and life-long resident of the Coachella Valley."
Assembly Member,Mike Gatto,"Mike Gatto was elected to represent the 43rd District in a Special Election in June 2010.  He is a lifelong resident of the district, born in Franklin Hills, and attending schools in Glendale, Los Feliz, and Silver Lake.  Mike graduated from UCLA with a degree in History, and Loyola Law School (at night), magna cum laude.

Mike has worked extensively in government and the private sector.  For years, he served as District Director to a United States Congressman representing the San Fernando Valley and Burbank.  He also served in the administrations of two Los Angeles Mayors.  In the private sector, Mike worked as an attorney representing California?s small businesses, assisting them with issues they had with government bureaucracy.  Mike has also taught English and given his time extensively to legal clients and non-profit entities who could not otherwise afford an attorney.

Mike is married to Danielle Gatto. They have two daughters, Elliana Vivienne and Evangelina Felicity."
