first,middle,last,pid,oid,name,party,numeric_score,percentage_score,total_votes
Anthony,,Cannella,61,-4,CA Chamber of Commerce Merged,Republican,0.8571,0.8571428571428571,14
James,,Gallagher,108,-4,CA Chamber of Commerce Merged,Republican,0.8378,0.8378378378378378,37
Jim,,Cooper,21,-4,CA Chamber of Commerce Merged,Democrat,0.8333,0.8333333333333334,6
Patrick,,O'Donnell,113,-4,CA Chamber of Commerce Merged,Democrat,0.8333,0.8333333333333334,12
Tom,,Lackey,10,-4,CA Chamber of Commerce Merged,Republican,0.8182,0.8181818181818182,11
Marc,,Steinorth,35,-4,CA Chamber of Commerce Merged,Republican,0.8182,0.8181818181818182,11
Brian,,Maienschein,84,-4,CA Chamber of Commerce Merged,Republican,0.8182,0.8181818181818182,22
Catharine,,Baker,74,-4,CA Chamber of Commerce Merged,Republican,0.8000,0.8,10
Jim,,Frazier,114,-4,CA Chamber of Commerce Merged,Democrat,0.8000,0.8,5
Eric,,Linder,39,-4,CA Chamber of Commerce Merged,Republican,0.7778,0.7777777777777778,9
Pat,,Bates,58,-4,CA Chamber of Commerce Merged,Republican,0.7750,0.782051282051282,40
David,,Hadley,40,-4,CA Chamber of Commerce Merged,Republican,0.7692,0.7692307692307693,13
Marie,,Waldron,29,-4,CA Chamber of Commerce Merged,Republican,0.7647,0.7647058823529411,17
Scott,,Wilk,19,-4,CA Chamber of Commerce Merged,Republican,0.7500,0.75,4
Jim,,Nielsen,68,-4,CA Chamber of Commerce Merged,Republican,0.7500,0.7580645161290323,32
Ed,,Chau,116,-4,CA Chamber of Commerce Merged,Democrat,0.7500,0.75,12
Steve,,Glazer,10481,-4,CA Chamber of Commerce Merged,Democrat,0.7500,0.75,4
Janet,,Nguyen,65,-4,CA Chamber of Commerce Merged,Republican,0.7273,0.75,11
Luis,,Alejo,9,-4,CA Chamber of Commerce Merged,Democrat,0.7143,0.7142857142857143,14
Mike,,Morrell,51,-4,CA Chamber of Commerce Merged,Republican,0.7000,0.7,10
Travis,,Allen,43,-4,CA Chamber of Commerce Merged,Republican,0.6667,0.6666666666666666,3
Ken,,Cooley,45,-4,CA Chamber of Commerce Merged,Democrat,0.6667,0.6666666666666666,9
Carol,,Liu,63,-4,CA Chamber of Commerce Merged,Democrat,0.6667,0.6666666666666666,6
Reginald,,Jones-Sawyer,87,-4,CA Chamber of Commerce Merged,Democrat,0.6667,0.6666666666666666,3
Cathleen,,Galgiani,95,-4,CA Chamber of Commerce Merged,Democrat,0.6667,0.6666666666666666,12
Evan,,Low,11,-4,CA Chamber of Commerce Merged,Democrat,0.6250,0.625,8
Jean,,Fuller,49,-4,CA Chamber of Commerce Merged,Republican,0.6250,0.625,8
Richard,,Roth,106,-4,CA Chamber of Commerce Merged,Democrat,0.6111,0.6111111111111112,18
Mike,,Gatto,46,-4,CA Chamber of Commerce Merged,Democrat,0.6000,0.6,10
Bill,,Dodd,71,-4,CA Chamber of Commerce Merged,Democrat,0.6000,0.6,5
Isadore,,Hall,1,-4,CA Chamber of Commerce Merged,Democrat,0.5833,0.5833333333333334,12
Marty,,Block,59,-4,CA Chamber of Commerce Merged,Democrat,0.5556,0.5555555555555556,9
Matthew,,Dababneh,50,-4,CA Chamber of Commerce Merged,Democrat,0.5455,0.5454545454545454,11
Sebastian,,Ridley-Thomas,67,-4,CA Chamber of Commerce Merged,Democrat,0.5455,0.5454545454545454,11
Rocky,,Chavez,83,-4,CA Chamber of Commerce Merged,Republican,0.5385,0.5454545454545454,13
Robert,,Hertzberg,99,-4,CA Chamber of Commerce Merged,Democrat,0.5200,0.52,25
Tony,,Thurmond,4,-4,CA Chamber of Commerce Merged,Democrat,0.5000,0.5,18
Rudy,,Salas,34,-4,CA Chamber of Commerce Merged,Democrat,0.5000,0.5,2
Bob,,Wieckowski,55,-4,CA Chamber of Commerce Merged,Democrat,0.5000,0.5,32
Benjamin,,Allen,70,-4,CA Chamber of Commerce Merged,Democrat,0.5000,0.5,12
Shannon,,Grove,77,-4,CA Chamber of Commerce Merged,Republican,0.5000,0.5,2
Chad,,Mayes,79,-4,CA Chamber of Commerce Merged,Republican,0.5000,0.5,2
Richard,,Pan,96,-4,CA Chamber of Commerce Merged,Democrat,0.5000,0.5,14
Loni,,Hancock,98,-4,CA Chamber of Commerce Merged,Democrat,0.5000,0.5,6
Ricardo,,Lara,107,-4,CA Chamber of Commerce Merged,Democrat,0.5000,0.5,36
Tom,,Daly,118,-4,CA Chamber of Commerce Merged,Democrat,0.5000,0.5,30
Richard,,Bloom,2,-4,CA Chamber of Commerce Merged,Democrat,0.4848,0.48484848484848486,33
Tony,,Mendoza,52,-4,CA Chamber of Commerce Merged,Democrat,0.4773,0.4772727272727273,44
Ed,,Hernandez,103,-4,CA Chamber of Commerce Merged,Democrat,0.4667,0.4642857142857143,15
Connie,,Leyva,62,-4,CA Chamber of Commerce Merged,Democrat,0.4595,0.4594594594594595,37
Mike,,McGuire,93,-4,CA Chamber of Commerce Merged,Democrat,0.4500,0.45,20
Jerry,,Hill,66,-4,CA Chamber of Commerce Merged,Democrat,0.4474,0.4473684210526316,38
Jim,,Beall,92,-4,CA Chamber of Commerce Merged,Democrat,0.4444,0.4444444444444444,36
David,,Chiu,7,-4,CA Chamber of Commerce Merged,Democrat,0.4400,0.44,25
Ben,,Hueso,48,-4,CA Chamber of Commerce Merged,Democrat,0.4286,0.42857142857142855,14
Lois,,Wolk,94,-4,CA Chamber of Commerce Merged,Democrat,0.4286,0.42857142857142855,21
Ian,Charles,Calderon,115,-4,CA Chamber of Commerce Merged,Democrat,0.4250,0.425,40
Eduardo,,Garcia,38,-4,CA Chamber of Commerce Merged,Democrat,0.4211,0.42105263157894735,38
Bill,,Monning,25,-4,CA Chamber of Commerce Merged,Democrat,0.4074,0.4074074074074074,27
Susan,Talamantes,Eggman,73,-4,CA Chamber of Commerce Merged,Democrat,0.4048,0.40476190476190477,42
Beth,,Gaines,109,-4,CA Chamber of Commerce Merged,Republican,0.4000,0.4,5
Cristina,,Garcia,112,-4,CA Chamber of Commerce Merged,Democrat,0.3636,0.36363636363636365,22
Shirley,,Weber,44,-4,CA Chamber of Commerce Merged,Democrat,0.3611,0.3611111111111111,36
Chris,,Holden,78,-4,CA Chamber of Commerce Merged,Democrat,0.3500,0.35,40
Miguel,,Santiago,17,-4,CA Chamber of Commerce Merged,Democrat,0.3478,0.34782608695652173,23
Mark,,Stone,20,-4,CA Chamber of Commerce Merged,Democrat,0.3333,0.3333333333333333,21
Bill,,Quirk,23,-4,CA Chamber of Commerce Merged,Democrat,0.3333,0.3333333333333333,36
Kevin,,Mullin,31,-4,CA Chamber of Commerce Merged,Democrat,0.3333,0.3333333333333333,3
Hannah-Beth,,Jackson,100,-4,CA Chamber of Commerce Merged,Democrat,0.3333,0.3333333333333333,30
Richard,,Gordon,117,-4,CA Chamber of Commerce Merged,Democrat,0.3333,0.3333333333333333,18
Jimmy,,Gomez,80,-4,CA Chamber of Commerce Merged,Democrat,0.3261,0.32608695652173914,46
Rob,,Bonta,85,-4,CA Chamber of Commerce Merged,Democrat,0.3243,0.32432432432432434,37
Anthony,,Rendon,120,-4,CA Chamber of Commerce Merged,Democrat,0.3226,0.3225806451612903,31
Lorena,,Gonzalez,53,-4,CA Chamber of Commerce Merged,Democrat,0.3125,0.3125,16
Mark,,Leno,60,-4,CA Chamber of Commerce Merged,Democrat,0.3103,0.3103448275862069,29
Susan,,Bonilla,3,-4,CA Chamber of Commerce Merged,Democrat,0.3000,0.3,20
Kansen,,Chu,32,-4,CA Chamber of Commerce Merged,Democrat,0.2857,0.2857142857142857,7
Fran,,Pavley,104,-4,CA Chamber of Commerce Merged,Democrat,0.2857,0.2857142857142857,21
Jim,,Wood,72,-4,CA Chamber of Commerce Merged,Democrat,0.2600,0.26,50
Adrin,,Nazarian,36,-4,CA Chamber of Commerce Merged,Democrat,0.2273,0.22727272727272727,22
Freddie,,Rodriguez,69,-4,CA Chamber of Commerce Merged,Democrat,0.2143,0.21428571428571427,14
Das,,Williams,12,-4,CA Chamber of Commerce Merged,Democrat,0.2000,0.2,15
Roger,,Hernandez,37,-4,CA Chamber of Commerce Merged,Democrat,0.2000,0.2,20
Holly,,Mitchell,64,-4,CA Chamber of Commerce Merged,Democrat,0.1667,0.16666666666666666,18
Kevin,,McCarty,22,-4,CA Chamber of Commerce Merged,Democrat,0.1579,0.15789473684210525,19
Philip,,Ting,30,-4,CA Chamber of Commerce Merged,Democrat,0.1429,0.14285714285714285,7
Nora,,Campos,76,-4,CA Chamber of Commerce Merged,Democrat,0.1250,0.125,8
Autumn,,Burke,6,-4,CA Chamber of Commerce Merged,Democrat,0.0714,0.07142857142857142,14
