,California State Senate,
Senator,Ricardo Lara,"Senator Ricardo Lara (D-Bell Gardens) was elected with overwhelming support in November 2012 to represent the Southeast Los Angeles County cities of the 33rd Senate District. Raised in a blue collar immigrant household, Ricardo knows first-hand the challenges facing working families and is committed to improving the quality of life for all Californians.

Ricardo is one of the most influential members of the State Senate, chairing the powerful Appropriations Committee and serving as a member of the Energy, Utilities and Communications, Governance and Finance, Governmental Organization, and Banking and Financial Institutions committees. 

An advocate for the environment, Ricardo created the California Clean Bus, Truck and Freight Program to encourage clean energy while investing in good jobs and authored legislation to create a state plan to address short-lived climate pollutants such as diesel soot, which are known to cause climate warming and negatively impact public health.

A champion for educational equity, civil rights and immigrant rights, Ricardo champions legislation that improves the quality of life for vulnerable communities. He has authored several first-in-the nation laws that recognize and invest in immigrant communities such as the California DREAM Loan Program, which helps undocumented students apply for loans to complete their higher education goals. Supporting California<'-TOKEN>s entrepreneurial spirit, Ricardo<'-TOKEN>s bill to update and expand access to professional licensing rules, regardless of immigration status, will stimulate local economies and create jobs.

Working his way through college as a teacher<'-TOKEN>s assistance in an English immersion classroom, Ricardo believes that multilingual education in schools is important to giving California students the competitive economic and educational edge. That<'-TOKEN>s why he authored the California Ed.G.E., or Education for a Global Economy Initiative, which will ask voters to revisit the state<'-TOKEN>s English-only instruction mandate in public schools on the 2016 ballot.  

Under his leadership as Chair of the Latino Caucus, the legislature passed AB60 to allow undocumented Californians to obtain driver<'-TOKEN>s licenses. In the summer of 2014, he organized a fact-finding delegation to visit the Central American unaccompanied minors being held in Ventura County and was instrumental in securing $3 million to be directed toward non-profit organizations providing legal representation to these children.  

Ricardo's record in public service has been recognized at the local, state and national levels. President Barack Obama awarded him a <""-TOKEN>Champion of Change<""-TOKEN> at the White House and The Los Angeles Times named Ricardo the <""-TOKEN>Point man in the push for immigrant rights<""-TOKEN> in California. Upon winning his election in 2012, he made history by becoming the first openly gay person of color elected to the California Senate.

Ricardo earned his B.A. in Journalism and Spanish with a minor in Chicano Studies from San Diego State University."
Senator,Mark Leno,"Mark Leno was elected to the California Senate in 2008. He currently represents the 11th Senate District of California, which includes San Francisco, Broadmoor, Colma, Daly City and portions of South San Francisco. Senator Leno chairs the Senate Budget and Fiscal Review Committee.

From 2002-2008, Senator Leno served in the California State Assembly, representing the 13th District, which encompasses the eastern portion of San Francisco. Prior to his election to the Assembly, he served for four and a half years on the San Francisco Board of Supervisors. 

During his tenure in the Legislature, Senator Leno has fought for better schools and access to higher education, foster youth, a cleaner and sustainable environment, single-payer universal health care, improved transportation, renewable energy, safer streets and equal rights for all Californians.

A native of Wisconsin, Senator Leno attended the University of Colorado at Boulder, then went on to become valedictorian of his graduating class at the American College of Jerusalem, where he earned his Bachelor of Arts Degree. He also spent two years in Rabbinical Studies at The Hebrew Union College in New York. Senator Leno is the owner of Budget Signs, Inc., a small business he founded in 1978 and operated with his life partner, Douglas Jackson. Together, the two entrepreneurs steadily grew their sign business until Jackson passed away from complications relating to HIV/AIDS in 1990. This deep loss would not deter Leno. Instead, he redoubled his efforts in community service."
Senator,Connie M. Leyva,"Elected to represent the 20th State Senate District on November 4, 2014, Senator Connie M. Leyva is serving her first term in the California State Senate.  The district includes the cities and communities of Bloomington, Chino, Colton, Fontana, Grand Terrace, Montclair, Muscoy, Ontario, Pomona, Rialto and San Bernardino.

As our State Senator, Senator Leyva is committed to improving California<'-TOKEN>s schools, environment and communities, as well as creating quality jobs throughout the 20th State Senate District and California.  She firmly believes that California families benefit most when we invest in and help strengthen small businesses and other job drivers that create good paying jobs in our local communities.  

A lifelong activist standing up for working people and families, Senator Leyva started working at her local Alpha Beta market as a senior in high school.  She served as both Union Representative and President of the United Food and Commercial Workers (UFCW) Local 1428, helping grocery workers gain a stronger voice for fair wages and benefits. Following in that tradition of community service and action to improve the lives of others, she was elected in 2004 as the first woman President of the California Labor Federation, representing more than 2.1 million workers throughout the state.

Senator Leyva serves as Democratic Caucus Chair of the California State Senate, as well as on the following committees:

˙    Appropriations
˙    Education
˙    Energy, Utilities and Communications
˙    Joint Legislative Audit
˙    Rules
˙    Transportation and Housing

Raised in Chino, Senator Leyva has lived in the Inland Empire since she was a small child.  She attended local schools and graduated from the University of Redlands with a bachelor<'-TOKEN>s degree in communicative disorders.

Senator Leyva and her husband Al live in Chino and are the proud parents of recent college graduate twins, Allie and Jessie."
Senator,Carol Liu,"Carol Liu is the State Senator from the 25th District, which includes Sunland/Tujunga, Atwater Village, and the Griffith Park areas of the city of Los Angeles, Burbank, Glendale, La Crescenta, Montrose, La Ca§ada Flintridge, Pasadena, Altadena, South Pasadena, San Marino, Sierra Madre, Monrovia, Bradbury, Duarte, Glendora, San Dimas, La Verne, Claremont, and Upland. 

Born into a family that has lived the California dream, both old and new: 
A fifth-generation Californian on her mother<'-TOKEN>s side,Carol Liu is also the daughter of an immigrant: her father emigrated from China before World War II.  Born in Berkeley and raised in Oakland, she attended public schools and graduated from San Jose State College.

A successful career in public education:
Carol continued her education at the U.C. Berkeley School of Education where she earned both a lifetime teaching credential and a credential in education administration.  She was a teacher in the Richmond, California, public schools, teaching history at the Junior and Senior High level before becoming a school administrator.

Meeting her husband and raising a family:
Carol met her future husband, Michael Peevey, at an AFL-CIO convention while she was Executive Director of the Richmond Federation of Teachers. They married and moved to Southern California, where Mike had a long and successful career with Southern California Edison (SCE), followed by several successful business ventures.  After he retired, Mike was appointed to the California Public Utilities Commission and served as its President until December 2014.  Carol and Mike have three children and five grandchildren.

A lasting commitment to community service:
In Southern California, Carol quickly emerged as a community leader.  Initially she focused on education and other issues affecting children, serving as a PTA President and as President of the Pasadena City College Foundation Board.  But she soon became involved in a whole range of issues that affect quality of life, leading to her election to the La Canada Flintridge City Council, where she served for eight years, including two very successful terms as Mayor.

A record of achievement in the State Assembly:
Carol went on to run for State Assembly, winning a hard-fought Democratic primary and easily carrying the general election.  A very popular Assemblywoman, she was re-elected twice more by ever-larger margins.

Many key pieces of legislation Carol authored during her six years in the Assembly were signed into law, including laws to promote career and technical education, protect public safety, prevent domestic violence, improve ground water quality, and deter gang activity.  She was also well known for working with other legislators to update the state's master plan for education and for fighting to prevent off-shoring of jobs funded by state contracts.

Carol chaired a number of committees and caucuses during her Assembly tenure, including the Assembly Higher Education Committee, the Women's Legislative Caucus, the Select Committee on Groundwater Quality and Quantity, and the Select Committee on Adult Education.

While serving in the Assembly, Carol was recognized as Legislator of the Year by a number of organizations, including the National Organization for Women, the California School Boards Association, and the Foothill Unity Center.

Continued service after leaving the State Assembly
After leaving the State Assembly, Carol resumed her active schedule of teaching and community service.  She taught at the UC Berkeley Goldman School of Public Policy and, with her reputation as a consensus builder and public policy expert, was asked to serve on a variety of boards and commissions.  She was Chair of the UC Berkeley Graduate School of Education Advisory Board and served on a number of significant boards, including the Claremont University Consortium Board of Overseers, the UCLA School of Public Affairs Advisory Board, the San Gabriel Habitat for Humanity Advisory Board, the Accrediting Commission for Community and Junior Colleges, and the Pasadena Education Foundation Board.

State Senate
The first Asian American woman ever elected to the California State Senate, Carol has continued to pursue her agenda to improve public education, increase access to higher education and to career and technical education, promote a sustainable environment and economic development, and preserve essential services for the elderly, low-income, disabled, and other at-risk populations. Carol's Senate Committee assignments include the Education Committee (chair), the Elections and Constitutional Amendments Committee, the Human Services Committee, the Insurance Committee, and the Public Safety Committee.

Senate Legislation
Since taking office in the Senate, Carol has authored a number of measures that have been signed into law, including bills that improve community college student success, reduce greenhouse gas emissions, and protect children and seniors.

Her legislative agenda also includes measures to: streamline the K-12 education governance process; improve school district and teacher effectiveness; expedite the education mandates reimbursement process; bring more transparency to higher education tuition deliberations and decisions; protect seniors from abuse; and improve delivery of services and continuity of care for the elderly.

District Programs
Carol focuses her efforts in the District on facilitating access to information and services that improve quality of life.  She hosted the highly successful Annual Women's Health Conference for ten years before expanding that program to reach more people with a wider variety of services and information. Her Pathways to Wellbeing and Economic Security Program (Pathways) aims to maximize the coordinated delivery of services to low-income and other disadvantaged populations including seniors, foster youth, the homeless, the disabled, victims of domestic violence, and veterans.

Carol has also established a networking and information exchange program to advance sustainability throughout the region -- Greening the 21st Century (GREEN21) -- by improving environmental quality and alternative transportation services and promoting green economic development and job creation.  Her other collaborative and consensus building programs include roundtables for Foster Youth, Local Law Enforcement, and District and Teacher Effectiveness, and she co-hosts an annual Women in Business Awards luncheon with her overlapping district Assembly Members.

Honors and Awards
Carol has been well-recognized throughout her Legislative career for her leadership and public policy advocacy and expertise.  Her honors and awards as a State Senator include being named Legislator of the Year by a number of organizations, including the California Library Association, the California Occupational Therapy Association, and the Arc of California.  She has also been named a True Friend of Seniors by the Congress of California Seniors and has a Summa Cum Laude rating from the California Small Business Association.

National Recognition
Carol is recognized nationally for her leadership and expertise in education policy.  In the Assembly she served as a member of the Blue Ribbon Commission on Higher Education and as a member of the National Commission on Accountability in Higher Education.  As a Senator she serves on the Legislative Advisory Committee of the Western Interstate Coommission for Higher Education."
Senator,Mike McGuire,"Senator Mike McGuire is a third generation Northern Californian, whose family farmed prunes and grapes in the Alexander Valley for nearly a half century.  Raised by his mom and grandma, Mike worked his way through high school and college and enjoyed a career in the radio and television industries.

Mike was first elected to the Healdsburg School Board when he was 19. As one of Northern California<'-TOKEN>s youngest school board presidents, he led successful efforts to rebuild local decaying schools.

In 2004, Mike was elected to the Healdsburg City Council where he was the city<'-TOKEN>s youngest mayor and was instrumental in creating one of the most successful local economies and stable municipal budgets in the region.

In 2010 <--TOKEN> during the depth of the recession <--TOKEN> Mike was elected to the Sonoma County Board of Supervisors. He helped lead efforts that turned years of deficits into a multi-million dollar surplus and brought forward the county's economic recovery and jobs plan that made Sonoma County one of top counties in job growth in California.

Mike has led efforts that are investing historic levels <--TOKEN> $160 million <--TOKEN> in local roads, bridges and highways. He has been a champion for strong public schools, including co-founding the Career Technology Education Foundation that has invested over $1 million in career training classes in local high schools.

Mike has always been a tireless advocate for our environment. He has helped protect and preserve tens of tens of thousands of acres of open space, watersheds and coast and he successfully fought to keep our regional and state parks open to the public.

Mike attended Santa Rosa Junior College and graduated from Sonoma State University.  He is married to local high school teacher and middle school assistant-principal, Erika McGuire. Erika and Mike live in Healdsburg."
Senator,Tony Mendoza,"Tony Mendoza, a Los Angeles native and former school teacher was elected on November 4, 2014 to represent the one million residents of the newly-drawn 32nd Senate District. Senator Mendoza previously served in the State Assembly from 2006 to 2012 representing the 56th District.

Senator Mendoza grew up in South Central Los Angeles. He is the first in his family of nine children to graduate from college. He earned his Bachelor<'-TOKEN>s Degree from California State University, Long Beach and his teaching credential at California State University, Los Angeles. He also obtained his Executive Masters in Leadership from the University of Southern California. For more than 10 years, Mendoza taught elementary school in East Los Angeles.

In 1997, he was elected to the Artesia City Council, becoming the first Latino and youngest councilmember at the age of 25. He made history again a year later when he became mayor. The City of Artesia is commonly known as <""-TOKEN>Little India<""-TOKEN>. Mendoza served three successful terms on the Artesia City Council before running for the State Assembly in 2006.

While serving in the State Assembly, he authored significant legislation signed into law: Under AB 97, California became the first state in the nation to ban the use of Trans Fats in food preparation in all restaurants; AB 1291 allows judges to sentence the parents of children with first-time gang offenses to anti-gang parenting education classes; and AB 22 prohibits the use of consumer credit reports in the hiring process.

Senator Mendoza is Chair of the Senate Labor and Industrial Relations Committee.  He also is a member of the Appropriations, Business & Professions, Education and the Transportation & Housing Committees.

Senator Mendoza lives in Artesia with his wife, Leticia, their three daughters and son.

The 32nd Senate District includes the cities and communities of Artesia, Bellflower, Buena Park, Cerritos, Commerce, Downey, Hacienda Heights, Hawaiian Gardens, La Habra Heights, La Mirada, Lakewood, Los Nietos, Montebello, Norwalk, Pico Rivera, Rose Hills, Santa Fe Springs, South Whittier and Whittier."
Senator,Holly J. Mitchell,"The Honorable Holly J. Mitchell has served in California<'-TOKEN>s Legislature since 2011 and was elected in 2014 to represent the 30th Senate District, which includes the communities of Century City, Cheviot Hills, the Crenshaw District, Ladera Heights, Mid-City, Palms, USC, L.A. Live and the Fashion District in Downtown, Westmont, Culver City and portions of South Los Angeles.

Policy efforts and legislative accomplishments include:

Expanded and protected access to contraception
Twice carried the bill to put a moratorium on <""-TOKEN>fracking<""-TOKEN> in CA
Caylee<'-TOKEN>s Law <--TOKEN> parent/guardian must promptly report a missing child
Laws to prevent, prosecute and punish sex trafficking of minors
Set same penalties for crack as for powder cocaine possession
<""-TOKEN>Health Homes<""-TOKEN> <--TOKEN> alternative care services for frequent hospital ER users
Ongoing push to repeal maximum family grant limit for poor families
<""-TOKEN>Hands on<""-TOKEN> UCLA training of foreign med grads in return for community service   
<""-TOKEN>Mitchell Plan<""-TOKEN> helped secure 5% benefits increase for CA<'-TOKEN>s poorest families
Mitchell, known for a focus on reducing poverty, chairs Budget Subcommittee #3 on Health & Human Services and belongs to the Senate<'-TOKEN>s official leadership as a member of its governing body, the Rules Committee, also serving on the Health, Insurance and Labor Committees. She founded the Senate Select Committee on Women and Inequality, and is a member of the Democratic, Black and Women<'-TOKEN>s Caucuses. Mitchell previously represented the 47th and 54th District in the Assembly, where she also chaired the Budget Subcommittee on Health & Human Services, as well as the Select Committee on Foster Youth.

Previously Mitchell was a field deputy in the Los Angeles district office of State Senator Diane Watson. As a policy analyst for the California Senate's Health and Human Services Committee she sought fiscally sound ways to expand vital services. As legislative advocate of the Western Center for Law and Poverty she helped develop the groundbreaking Healthy Families program, later serving as executive director of the Black Women's Health Project in Los Angeles.

Mitchell's commitment to community service and social justice began in elementary school when she volunteered in a congressional campaign. That led to student activism and a Coro Fellowship in Public Affairs following her undergraduate studies at UC Riverside.

As the chief executive officer of Crystal Stairs for seven years prior to taking public office she championed statewide family-focused policymaking. 

As the mother of a teenager, Holly Mitchell understands the concerns of working families and advocates legislative policy to meet their needs. She seeks to improve the quality and accessibility of the state's health and education systems. She focuses on job creation and balancing business, human and environmental needs to expand economic opportunity while protecting natural resources."
Senator,William W. Monning,"Senator William W. Monning was elected in November of 2012 to represent the 17th Senate District, which includes all of San Luis Obispo and Santa Cruz Counties, and portions of Monterey and Santa Clara Counties.  Prior to that, he represented the 27th Assembly District from 2008 to 2012, which included portions of Monterey, Santa Cruz, and Santa Clara Counties.

Currently, Senator Monning is the Senate Majority Leader, as well as the Chair of the Senate Committee on Legislative Ethics.  He also serves as a member of the Senate Committees on Budget, Health, Judiciary, Natural Resources and Water, Public Safety and the Budget Subcommittee #3 on Health and Human Services.

During his tenure in the state Legislature, the Senator has been a leading advocate of reducing childhood obesity and other preventable chronic illnesses through the reduction of the consumption of sugar sweetened beverages.  He has authored legislation that would have established a sugar sweetened beverage tax with the revenues generated dedicated to support childhood obesity prevention activities and programs throughout the state, and legislation to place a consumer-warning label on sugar-sweetened beverages, which contain 75 calories or more per 12 ounces, sold in California.

Senator Monning has also been a long-time supporter of the California Central Coast State Veterans Cemetery at Fort Ord and has provided leadership at the state level to provide the funding necessary for its construction.  Additionally, he has been active in bringing together a diverse group of stakeholders and developing a strategy to develop the Coastal Trail in the Big Sur area, as well as working with state and local agencies to ensure the removal of the San Clemente Dam to achieve safety and ecological benefits.

When he was a member of the Assembly, the Senator was instrumental in establishing the California Health Benefits Exchange, a key component for California to implement federal health care reform.  The primary function of the Exchange is to be California<'-TOKEN>s <""-TOKEN>active purchaser<""-TOKEN> of health care coverage for individuals and small businesses that generally do not have access to affordable health care.  He also authored landmark legislation that requires the Ocean Protection Council to establish a statewide standard for the certification of sustainable seafood.

Prior to his service in the State Legislature, Senator Monning was a professor at the Monterey College of Law and a professor of International Negotiation and Conflict Resolution at the Monterey Institute of International Studies.  He is the former president and co-founder of Global Majority, Inc., an organization committed to education, training and advocacy in the field of non-violent conflict resolution.

Senator Monning served as a Senior Fulbright Specialist, receiving Fulbright scholarships to teach and research in Peru and Chile.  Additionally, he was a member of the Monterey County court-directed mediation panel and served for four years as Executive Director of the Nobel Peace Prize winning organization, International Physicians for the Prevention of Nuclear War.

The Senator received a B.A. at the University of California at Berkeley and a law degree from the University of San Francisco, School of Law.  He and his wife, Dana T. Kent, a family physician, reside in Carmel, California and have two daughters: Laura, husband Kevin (3 grandchildren); and Alexandra, husband Lucas.

Committee Membership
Budget Subcommittee 3 <--TOKEN> Health and Human Services
Budget & Fiscal Review
Ethics (Chair)
Public Safety
Health
Judiciary
Natural Resources and Water
Select Committee on Mental Health
Joint Legislative Budget Committee
Joint Committee on Rules"
Senator,John Moorlach,"As a Certified Public Accountant and Certified Financial Planner, John Moorlach began his career in public service 20 years ago when he warned that then Orange County Treasurer-Tax Collector Robert Citron<'-TOKEN>s risky investment strategies would lead to bankruptcy.  Moorlach<'-TOKEN>s warnings proved true when Orange County filed for bankruptcy protection in December of 1994, becoming the largest municipal bankruptcy in U.S. history.

In the aftermath, the Board of Supervisors appointed John Moorlach to serve out the term of County Treasurer-Tax Collector, where he took immediate steps to reorganize county finances, cut losses, lessen risk, and create efficiencies within government.

Moorlach became well known nationally for his bold and effective steps in recovering the county<'-TOKEN>s financial outlook, as well as for his drive for greater transparency in government financial operations.

John Moorlach was twice re-elected to County Treasurer-Tax Collector. In 2006, voters elected John to serve in his first of two terms on the Board of Supervisors, where he continued his focus on reforming the county<'-TOKEN>s budget practices and sounding the alarm on the county<'-TOKEN>s growing unfunded liabilities.

As Supervisor, John Moorlach served on Orange County<'-TOKEN>s most prominent boards, commissions, and committees, including:

Orange County Transportation Authority
Orange County Vector Control District
Orange County Local Agency Formation Commission
Orange County Criminal Justice Coordinating Council
Orange County Juvenile Justice Coordinating Council
Orange County Ending Homelessness Commission (Chairman)
Newport Bay Watershed Executive Committee (Chairman)
Children and Families Commission of Orange County (alternate)
National Association of Counties
Orange County Council of Governments (alternate)
Southern California Association of Governments (alternate)
California State Association of Counties Board of Directors, including its Executive Committee and was the Chair of the Urban Counties Caucus (representing the most populated counties in California)
Prior to serving as Orange County Treasurer-Tax Collector, John Moorlach was a Certified Public Accountant, Certified Financial Planner, and Vice President of Balser, Horowitz, Frank & Wakeling, an Accountancy Corporation, and was the administrative partner of its Costa Mesa office.  He served on numerous nonprofit and industry related boards during his eighteen years in public practice and was a frequent writer and speaker on financial topics.

Moorlach is a California history enthusiast and served as Vice President of the Gold Discovery to Statehood California (1848-1850) Sesquicentennial Foundation Board. He has photographed nearly all of the state<'-TOKEN>s historical landmarks, a program under the auspices of the State Historical Resources Commission. Consequently, he has visited every county in the state, some on numerous occasions, and has enjoyed multiple drives on Highway One, from San Diego County to Crescent City and beyond.

A 1977 graduate from California State University in Long Beach, Moorlach was recognized in 2014 as the CSU Long Beach College of Business Administration Alumnus of the Year.

Moorlach passed the C.P.A. exam in 1978 and completed his studies for the Certified Financial Planner designation in 1987.  He earned a Certificate in Public Finance from the University of Delaware, Division of Continuing Education in 1995, the Certificate of Achievement in Public Plan Policy (CAPPP) in Employee Pensions in 1999 and the Trustees Masters Program in 2003 through the International Foundation of Employee Benefit Plans, and the New Supervisors Training Institute in 2007 from California State University in Sacramento in cooperation with their Center for California Studies."
Senator,Mike Morrell,"A small business owner for over 25 years, Senator Morrell understands the issues faced by residents and businesses in the Inland Empire. Senator Morrell<'-TOKEN>s view of government is simple: government exists to serve the public, not to be served by it. The right to private property, the gift of free enterprise, and government by consent are central tenets to our nation and its continued prosperity. Mike is committed to restoring fiscal responsibility and common sense approaches to government.

State Assembly and State Senate

In the State Assembly, Mike served as a member of five standing committees: Labor and Employment (Vice Chair); Budget; Banking and Finance; Environmental Safety and Toxic Materials; and Jobs, Economic Development, and the Economy.

In the Senate, Mike currently serves on three standing committees: Health (Vice Chair); Budget and Fiscal Review; and Banking and Financial Institutions.

Community Service

Mike has consistently lent his time and talents to the community. He has served on the Board of Directors for the Building Industry Association and the Board of the Rancho Cucamonga YMCA and the Advisory Board for the Gary Anderson School of Business at UC Riverside. He was also a key member of the Inland Empire Economic Partnership and the Legislative Committee for the Citrus Valley Association of Realtors. Mike was a co-founder of the Inland Empire Prayer Breakfast, contributed to Inland Empire leadership for the City of Hope, and acts on the Advisory Board to the Pacific Justice Institute. He is proud to support Hillsdale College through the Parents Board, as well as the Claremont Institute President<'-TOKEN>s Club.

Prior to his time in public office, Mike was an active member of the California Republican Assembly. He served on the Business Advisory Boards of former State Senator Bill Leonard and former Assemblyman Fred Aguiar, in addition to the Small Business Council of former Assemblyman Bill Emmerson.

Education

Mike graduated from Damien High School in La Verne and earned his Bachelor of Arts Degree in Business at the University of La Verne.

Personal

Mike began his professional career in the title industry. After breaking company records twice, he began his own business in Upland, serving as president of both Provident Home Loans and Provident Real Estate. He incorporated his business in 1989.

Mike and his family are committed to preserving freedom for the next generation. They place a high priority on ensuring public awareness and understanding of the principles of limited, Constitutional government.

Mike and his wife Joanie have been married for 33 years and have three adult children.  Kristen is an earned a degree from the Claremont Graduate School; David is a Yale Law School graduate; and Matthew is a graduate of Hillsdale College."
Senator,Janet Nguyen,"The Honorable Janet Nguyen was overwhelmingly elected to the California State Senate in November 2014 to represent the residents of the 34th Senate District.

Senator Nguyen has set many firsts in state and national politics. She is the first Vietnamese-American in the country to be elected to a state<'-TOKEN>s legislative Senate house, and she is the highest-ranking Vietnamese-American elected official in the United States.

Senator Nguyen represents more than 925,000 residents in California<'-TOKEN>s 34th Senate District, which covers the Cities of Fountain Valley, Garden Grove, Los Alamitos, Santa Ana, Seal Beach, Westminster, unincorporated communities of Midway City and Rossmoor and portions of Anaheim, Huntington Beach, Long Beach, and Orange.

Prior to the California State Senate, Senator Nguyen served at the Orange County Board of Supervisors from February 2007 to December 2014. Senator Nguyen was the first female Supervisor to represent the First Supervisorial District, the first Asian-American and the first Vietnamese-American to serve on the Board of Supervisors, as well as the youngest Supervisor elected in Orange County history. In 2009, Senator Nguyen served as Vice-Chair of the Board of Supervisors, and she was Chair of the Board in 2010.

Senator Nguyen previously served on the Garden Grove City Council where she was the first female Council Member elected in nearly 35 years and the youngest member ever elected. She is also the former Vice-President of Government and Public Affairs for the Long Beach Area Chamber of Commerce. 

For her efforts to serve the community, Senator Nguyen has been awarded the We Give Thanks 2004 Women of Vision Award, which recognizes outstanding women who have provided exceptional services to the community. Nguyen was also named to the Class of 2008 Latino OC 100 for her work with the Latino community. In addition, the Orange County Register has listed her as one of the <""-TOKEN>30 Vietnamese-Americans to Watch.<""-TOKEN>

Born in Saigon, Vietnam, Senator Janet Nguyen and her family escaped their homeland on a small wooden 10-meter boat sailing across the South Asia Sea in search of freedom. After passing through numerous refugee camps, Senator Nguyen and her family arrived in California in 1981. She is a graduate of the University of California, Irvine where she received a Bachelor of Arts degree in Political Science.

Senator Nguyen resides in Garden Grove with her husband Tom and two sons."
Senator,Jim Nielsen,"A successful farmer and rancher, Senator Jim Nielsen grew up on a small farm in the San Joaquin Valley and graduated from Fresno State with a Bachelor's degree in Agricultural Business. After college, Jim worked as a ranch foreman and operated the family cattle, field and row-crop ranch. He later founded a company that utilized rice hulls and rice straw for fuel.

Elected to the State Senate in January 2013, Senator Nielsen proudly represents the citizens of Butte, Colusa, Del Norte, Glenn, Nevada, Placer, Sacramento, Shasta, Siskiyou, Sutter, Tehama, Trinity and Yuba counties. He serves as a member of the Senate Committees on Budget, Health, Insurance and Veterans Affairs.

Nielsen was originally elected to the State Senate in 1978 and served as Republican Leader from 1983 to 1987. In 1990, he was appointed chairman of the California Board of Prison Terms, where he served until 2007. He was elected in November 2008 to represent the North State's 2nd Assembly District in the State Legislature.

A strong fiscal conservative and expert on fiscal policy, Nielsen was named the lead Republican on state budget issues. From his position as Caucus Whip of the Senate Republican Caucus, Nielsen spearheaded the opposition to liberal tax increases, and rallied conservatives in favor of fiscal responsibility, smaller government and an improved business climate to provide good jobs for the people of California.

The Senator<'-TOKEN>s extensive record of leadership and public service makes him one of California's most recognized advocates for reducing the size and scope of government. Nielsen has proposed hundreds of specific reforms to reform state government regulations and reduce out-of-control state spending. He authored legislation to reform California's welfare system and reduce welfare fraud and co-authored California's landmark Victims Bill of Rights and Marsy's Law.

Senator Nielsen is also a leader when it comes to protecting and strengthening private property rights in California. He is the Founder of the California Alliance to Protect Private Property Rights that is currently at the forefront of the effort to limit governments' ability to seize private property through eminent domain. The Senator is also working side-by-side with farmers and ranchers in the Klamath Basin to fight efforts by overzealous government bureaucrats to steal their historic water rights and authored a law to protect 'area-of-origin' water rights in California.

The Senator has written and spoken extensively on California public policy, his commentaries have appeared in major newspapers across California. He is also a frequent guest on local and national radio and television programs. Various taxpayer organizations and small business advocates have honored Senator Nielsen for his leadership on state budget issues and for his unrelenting fight against profligate government spending.

Jim and Marilyn Nielsen live in Gerber, California. He has two daughters, three sons and three grandchildren."
Senator,Dr. Richard Pan,"Dr. Richard Pan, a pediatrician and former UC Davis educator, was elected to the State Senate in November 2014.  As a State Senator, Dr. Pan proudly represents Sacramento, West Sacramento, Elk Grove and unincorporated areas of Sacramento County in the state legislature and is the Chair of the Senate Committee on Public Employment and Retirement. Dr. Pan continues to practice medicine at The Effort Oak Park Community Clinic. 

In the State Senate, Dr. Pan is authoring legislation to ensure the completion of flood-control projects along the American and Sacramento Rivers, save lives through an increase in the tobacco tax, bring transparency to University of California investments, keep non-profit community clinics open, help college police solve crimes and strengthen community trust and provide local businesses with the tools they need to thrive and create jobs. 

As a doctor, an educator and legislator, Dr. Pan has remained steadfast in his focus to build healthier and safer communities.  As Director of the UC Davis Pediatric Residency Program, Dr. Pan created an innovative training program called <""-TOKEN>Communities and Health Professionals Together<""-TOKEN> to build strong neighborhood partnerships and make communities healthier. 

Dr. Pan co-founded and served as chair of Healthy Kids Healthy Future, where he helped secure health, dental and vision coverage for over 65,000 children in the Sacramento area. He helped create the Sacramento Health Improvement Project, bringing together doctors, hospitals, clinics and community leaders to ensure that all Sacramento County residents have access to primary health care. Dr. Pan also serves on the United Way California Capitol Region Board and served on the BloodSource board and the Sacramento First Five Commission. For his leadership in education and community development, Dr. Pan has been recognized with the Campus Compact's Thomas Ehrlich Faculty Award for Service-Learning and the Physician Humanitarian Award from the Medical Board of California.

Elected to the Assembly in 2010, Dr. Pan has built coalitions to bring attention and urgency to issues that Sacramentans care about.  He authored legislation that brought California more than $90 million in new federal, public safety funds, including more than $6 million to the Sacramento region. In partnership with the Sacramento City Police and the Sacramento County Sheriff, Dr. Pan established a statewide online database to catch thieves attempting to sell stolen property to pawnshops. He joined with the Consumer Federation of California and the California Alliance of Retired Americans to remove expired medications and baby food from store shelves. And, it was through his partnership with parents that Dr. Pan was able to provide children and communities with much-needed against vaccine-preventable diseases, an issue that he is deeply committed to and has continued to work on as State Senator. 

As Chair of the Assembly Committee on Health, Dr. Pan focused on expanding transparency and oversight of vital government health programs.  He also worked to ensure federal health care reforms were implemented effectively and efficiently in California.  His is efforts to expand health care built upon legislative hearings he held to address the state<'-TOKEN>s failed system of dental care coverage for children in Sacramento, as reported by the Sacramento Bee and the Center for Health Reporting.

Dr. Pan and his wife are raising two young sons and run a dental practice where they balance expenses, meet a payroll and understand the challenges of running a small business. Dr. Pan was born and raised around science as his father worked at NASA and his mother in architecture after both emigrated from Taiwan. After graduating from public schools, Dr. Pan earned an undergraduate degree from Johns Hopkins University, a Medical Doctorate from the University of Pittsburgh and a Masters of Public Health from Harvard University."
