engagement,procedural,procedural_question,question,weak_question,topic_intro,uids_str,committee_position,committee_position_next,committee_position_prev,pid,pid_next,pid_prev,simple_label,simple_label_next,simple_label_prev,text,text_next,text_prev,uid_next,uid_prev,uids,vid
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[9688048, 9688051]",Member,Not In Committee,Co-Chair,10,101386,87,Legislator,General Public,Legislator,"Thank you. My final comment and question is being former law enforcement I'm very sensitive to the ongoing national discussion about police and community relations. This past fall I attended four funerals in less than a month for officers killed violently in the line of duty. One funeral was for Lancaster Deputy Sergeant Steve Owen from my district who was killed while responding to a burglary. Another was for a Palm Springs officer who had just returned from maternity leave, Ms. Lesley Zerebny. Nationally, we've seen attacks targeting officers in Dallas and Baton Rouge, and since being elected I've had regular meetings with community members and community leaders, and law enforcement, to discuss how we can build trust back., These meetings provide important perspective and have helped me better understand why some people in the community distrust law enforcement. However, with the number of attacks on officers we have seen, it's clear we need to do everything in our power to reduce tensions and improve trust. Do you see a role for California's Attorney General to improve police-community relations and do you have thoughts about the steps we can take?","Trust comes after there's respect and without the respect, you'll never gain the trust and you won't get the cooperation, if you don't have the trust and so, from my perspective we almost have to start at the A, B, C's here, because communities have become very divided. I believe the law enforcement community has to do more to reach out to communities that have seen victims as a result of ambitious law enforcement activity and I believe communities that have been the victims have to reach out to the law enforcement to try to get a sense of how difficult the job has become with the technology and the capacity of weapons these days and so I think we have to go back to the first step of respect. Before we can get to trust, we'll never get to cooperation if we can't do the first two.","Thank you, Dr. Weber. Thank you. Mr. Lackey?",9688053,9688028,"[9688048, 9688051]",16589
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[13761442, 13813936]",Not In Committee,Not In Committee,Chair,4657,15930,64,Legislator,State Agency Rep,Legislator,"Thank you, Madam Chair. I appreciate, Assemblyman Obernolte, using the terms the purpose for which it is intended for Prop 56. I'm just curious, Ms. Costas, why Prop 56 is so confusing to the Department of Finance?, What is the intent of Prop 56? Not only here, but also with UC residencies. It seems like we're arguing. And there shouldn't be an argument, but the Governor has decided to do something completely different with 56 than what was intended. And how do we solve that, Madam Chair?","Okay. If I may, Madam Chair. I don't want to spoil our fun. We have other agenda items ahead of us on this very issue, Senator. So some in a couple pages, some-",Mr. Moorlach.,13761444,13761440,"[13761442, 13813936]",27987
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[10570355, 10570356]",Member,Not In Committee,Chair,36813,3067,34400,Legislator,General Public,Legislator,"So looking at our future growth and I was looking at the breaking it down by region., What can you tribute the job gain to in the IE?","So, the job gain in the IE is been driven.",Thank you. Great clarification. Assembly Member Cervantes.,10570357,10570354,"[10570355, 10570356]",23788
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[14994396, 14994397, 14994398, 14994399, 14994400, 14994401]",Member,Not In Committee,Chair,31,3177,2,Legislator,State Agency Rep,Legislator,"Just a quick question. Thank you for the thoughtful presentation, I know this is a challenge for all of us. It sounds like there's potentially a number of options to pursue, it'll probably be some kind of a package approach to deal with a structural gap., My question is on, just curious about the source of the funds for the lifetime license trust account. Those lifetimes licenses rage from 700 to 1,200 depending on the age of the buyer. I mean you're trying to incentivize the purchase of those? Yes., Is that a deal for hunters and fishermen? I'm an annual purchase for like a three day thing. I'm not one of these lifetime guys but- Well, can I change your mind?, What's that? You can have that conversation outside. So, have you made adjustments in that 700 to 1,200. What kind of a deal is that for hunters and fisher persons in the State of California?, And then you've got a sliding scale there, right? I'm just curious about the administrative challenges of doing some kind of a sliding scale for landing fee increases based on the year. You were talking about sensitivity around a lousy salmon year and we're hitting them with the same fee regardless., Is there any kind of flexibility contemplated which is a more sensitive one given the nature of the economy and what kind of a fishing year it is? If you could try to blend an answer to those two different questions.",Let me start with your first question.,Mr. Mullen?,14994402,14994395,"[14994396, 14994397, 14994398, 14994399, 14994400, 14994401]",29906
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[11260562],Vice-Chair,Not In Committee,Chair,14,8596,11,Legislator,General Public,Legislator,"Thank you. In the analysis or in the background, there was no submission of any studies in terms of affecting voter turnout. Could you tell me, what's that occasion that you site? Because it makes it challenging to be able to confirm whether it really does affect voter turn out when it isn't included into the background.","Yes absolutely, Assemblyman Harper. It is actually a very recent article that came out in the election line newsletter on March 2nd. It's footnoted in my official letter of support on the bill to the Committee. And the article is called Stamp of Approval and you can find through the election line website. I'd be happy to email a link for it too, if you'd like.","Thank you very much. Any additional witnesses in support? Okay, seeing none, we have any wishing to speak in opposition? Okay, seeing none. I move the bill. Second.>>He moved and second, any questions from any Committee Members? Mr. Harper?",11260566,11260559,[11260562],24265
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[7543996],Member,Not In Committee,Chair,113,700,114,Legislator,General Public,Legislator,"Yes, just couple questions for just a couple of the panelists with regard the plan implementation and the design of the plan and some of the outreach. Maybe this question is for Mr. McGavin, if you will. Has there been outreach to your organization as to what maybe this plan could look like in getting some feedback for your organization?","Yes, there has. We've had opportunities, both in the public processes like the Freight Advisory Committee, the agencies had multiple workshops around the state. This winter, ARB and CTC have both had this on their public agendas, and we've also had an opportunity to meet with staff from the agencies.","Mr. O'Donnell, I believe you had a question or comment?",7544000,7551908,[7543996],7434
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[13680754, 13680755, 13680756, 13680762, 13680763, 13680764]",Member,Not In Committee,Member,7492,14856,47,Legislator,General Public,Legislator,"Seeing no further discussion or debate. Dr. Wood would you like to close? Respectfully ask for your aye vote., The clerk will open the roll., All those vote who desire to vote., Dr. Wood requests we move the call., Pass and retain on file item 246., File item 247, AB 391 the clerk will read.","Assembly bill 391, by Assemblymember David Chiu and others an act relating the Medi-Cal.","Look, the price of drugs has driven up the tax base because we pay Medi-Cal, Medicaid rates and that's what drives up the cost. I think this is a good bipartisan port so I request that if you amend the bill that I be added as a co-author if you may at some time I support this bill. I think it's good policy. I recommend an aye vote.",13680765,13680753,"[13680754, 13680755, 13680756, 13680762, 13680763, 13680764]",27926
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[1268890, 1268902, 1268914]",Member,Not In Committee,Member,26,9904,64,Legislator,State Agency Rep,Legislator,"I think that's great. I love that kind of streamlining. And then, I just wanted to commend you also, you mentioned the distribution of the monies, and it sounds like small counties and large counties alike have been receiving funding and just one final question and I'll let you continue., For the crisis residential treatment beds versus the crisis stabilization, you've talked about the new idea of there may be more of a need for crisis stabilization money than crisis residential. Are you saying that the demand for crisis stabilization has far exceeded that for crisis residential?, And that's why you're considering making this recommendation that based on the, I don't want to call it the marketplace, but we seem to be hopefully satisfying the crisis treatment beds, but it's the stabilization ones that need the higher priority at this time based on where we are in the program?","Not speaking from any place of authority on this. There are members in your audience that can comment more succinctly and precisely about the need, but from our perspective, we had more applications to draw down that smaller amount, the $15 million that was available for crisis stabilization.","Sure, please proceed.",1268926,1268852,"[1268890, 1268902, 1268914]",1231
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[1246783],Possible Chair,Not In Committee,Member,66,3533,74,Legislator,General Public,Legislator,"Thank you, Ms. Baker. Ms. Howle, the issue of transitioning from DGS to Cal Tech, were the same, was the same authority with DGS as today with Cal Tech, in terms of monitoring, oversight, appeal, and actually terminating contracts?","So, if I understand your question, Senator, does Cal Tech have the same authority that DGS had",Thank you.,1246799,1246781,[1246783],1211
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[588812, 588814]",Not In Committee,Not In Committee,Not In Committee,67,8473,8473,Legislator,General Public,General Public,"All right, thank you all for your presentation., Couple of quick points, LEP voters, you said eligible 2.6 million, how many registered?",I'm not sure about the exact number of registered--,"And I'd be happy to take any questions, thank you.",588816,588810,"[588812, 588814]",626
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[4735474, 4735478, 4735482, 4735484, 4735486]",Vice-Chair,Not In Committee,Member,26,522,100,Legislator,Lobbyist,Legislator,"Thank you so, I have some questions of my own. At the local level, I served down on board supervisor, I served on City Council. We had a project come through, you got well served letter from a local water agency. You have enough water, you give them a permit, they get the bill. So now, just identify what you have to do now., Now you have to do a study, basically a CEQA amendment study. That obviously the more CEQA work you do, the more vulnerable I think you are to litigation. You talked about another eight years potentially. I associate a lot of my comments with Senator Hueso's. We're trying to get affordable housing built in my district., But we have a lot of the same problems that Imperial County has, and I see this as a way to give opposition to building more ammo. And at a time when we really need the construction jobs and we need housing for certainly many areas that I represent. Where more than 40% of certain populations rent, and they would like to own., The problem is that there is not a whole lot of development going on right now. And I don't see this as a way of priming the pump, if you will, to get more development going without making it more expensive. For developers, which we are going to pass the cost on to the home builder., If it's an affordable home builder, it's going to be more difficult to make it affordable. So, I'd like you to respond to some of these issues. And are there any other laws that connect land use approvals with water supply in the State of California at this time?","Well, yes, there are many other laws, I had mentioned a few of them. There's a provision in Mr. Herzberg's bill from the same year, 2001, or is it 2000? 2000, and actually we had worked together on putting that provision in on making sure that there was water available in a timely manner for those projects.","So, this is a problem that isn't tomorrow we can't sluff it off for a year because we got a lot of water, we're in a very serious situation. I want to commend the [UNKNOWN] Center for bringing up what is a very difficult issue but we have got to find some ways to resolve this sooner rather than later.",4735490,4735470,"[4735474, 4735478, 4735482, 4735484, 4735486]",6067
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[7718989, 7718991, 7718993]",Vice-Chair,Not In Committee,Chair,68,16509,60,Legislator,State Agency Rep,Legislator,"This, historically though, these positions have not been looked at as a job, full time job. It has been looked at as service. And now we are elevating it and sanctifying it as a job, and this is a comment that the public, who I hope some of are watching., You are now inviting a whole new level of government be more formalized in a paid level of government. What does it mean in the Timber Regulation Forest Restoration fund per diem a quote reasonable per diem to non-government members For attendance of a meeting of a related Advisor Committee., Who determines what a reasonable per diem is? Who makes that determination? Does the Legislature make that determination?",We have assumptions about how much we have appropriated for that reasonable per diem.,"Okay. Senator Nielsen, Senator Moorlach.",7718995,7718965,"[7718989, 7718991, 7718993]",7535
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[13100625],Member,Not In Committee,Not In Committee,4657,111162,111162,Legislator,State Agency Rep,State Agency Rep,"Yeah, that's off-site, having to go somewhere? I'm just wondering, can I help him to get to know the delegation or the Legislature a little better?","I'm sure he'd love it, and I will convey that message. Thank you, yeah, absolutely.","And number one on that list was one of our campuses, Cal State, LA, with many CSUs there. There's just a heck of a lot to be proud of. I'll close by saying the benefit is not just for the state, it's for the students, it's for their families, and it's for their communities. Thank you very much.",12895483,12895470,[13100625],27215
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[1124030],Member,Not In Committee,Not In Committee,94,3172,3172,Legislator,State Agency Rep,State Agency Rep,"So, the language in those bills is something that the Board of Water's comfortable with?",Yes.,"But if the legislature is interested in providing Water Boards with explicit role in the injection well permits and aquifer exemptions, we would suggest that the approach described in pending legislation AB 356 and SB 454, which requires Water Board concurrence prior to DOGGR's submittal of a proposal for aqua exemption to USCPA, would be an appropriate path forward.",1124032,1124022,[1124030],1090
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[241624],Member,Not In Committee,Chair,44,1399,81,Legislator,General Public,Legislator,"Okay, Are you representing the university administration I should ask? I mean are you representing the UC president and the folks who basically make money decisions?","I am, yes I represent the University of California Office of the President on health issues. So yeah, it's my understanding, I mean I don't have any other understanding that if the money is given for this specific purpose that it wouldn't be used for other than for this specific purpose.",Ms. Weber?,241632,241618,[241624],265
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[4959013, 4959019]",Member,Not In Committee,Not In Committee,64,3480,3004,Legislator,LAO,State Agency Rep,"Excellent, thank you finance. Any public comment? Seeing none. We're going to hold that item open per the staff's recommendation., We'll proceed on to issue 4, the resources for federal grant and RSA 911 reporting budget change proposal.","Yeah, thank you. I'm going to ask our Assistant Admin Deputy Tina to speak to that please.","At the Committee's pleasure, I can move into the items if you'd like.",4959023,4958973,"[4959013, 4959019]",6296
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[8716297, 8716298]",Member,Not In Committee,Chair,13,15797,114,Legislator,General Public,Legislator,"It's interesting that the community groups used word of mouth. You used all the things, you used the dealers but what do we do to directly go to the people? Just as you were going to do a big campaign, you generally will go to them through their local newspapers or their local things that they're doing, whether it's online, whether it's a hard copy newspaper., But you generally will go to that particular community. I've never seen anybody in my community from your agency talking about this.","No, the point is well taken and again, it does come down for us. We do as much as we can through normal communication channels. We have a website, we have a contractor that administers the rebates where we send information. We work through our communications office to the extent that we can. Clearly, it's not enough.","Okay, good. Assembly Member Brown?",8716299,8716284,"[8716297, 8716298]",8886
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[13954492],Member,Not In Committee,Chair,85,16612,27,Legislator,General Public,Legislator,Thank you. And where do you point to for the statutory authority for the regulation on limiting the waiver of sovereign immunity?,"So we look at the statute which gives us the broad regulatory, delegated broad authority. And we're required to make and prescribe reasonable rules and regulations as may be necessary to implement, administer and force the state regulatory system.","Okay, we're going to go to Mr. Bonta and then Mr. Cooley.",13954494,13954482,[13954492],28329
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,[1446567],Member,Not In Committee,Member,60,5340,68,Legislator,General Public,Legislator,"And Finance, you have a comment?","Yes, thank you, Jaci Thomson. I'm with the Department of Finance. If I could just clarify, Streets and Highways code Section 183 actually specifies that transportation projects, allocations shall only be made on a program basis for example capacity or maintenance.","I would appreciate just keeping it open and maybe we can take a little bit, look at tomorrow or the next day.",1446569,1446549,[1446567],1390
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,[1446567],Member,Not In Committee,Member,60,5340,68,Legislator,General Public,Legislator,"And Finance, you have a comment?","Yes, thank you, Jaci Thomson. I'm with the Department of Finance. If I could just clarify, Streets and Highways code Section 183 actually specifies that transportation projects, allocations shall only be made on a program basis for example capacity or maintenance.","I would appreciate just keeping it open and maybe we can take a little bit, look at tomorrow or the next day.",1446569,1446549,[1446567],1390
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[10810435, 10810436, 10810437]",Possible Chair,Not In Committee,Possible Chair,66,102824,34,Legislator,General Public,Legislator,"Thank you, Chair Salas, for that great leadership, as always., Definitely.>>Thank you. Following up on the Chair's comments related to basically the number of audiologists and the challenge of that. But do you think that the new federal guidance and the guidelines that came down that individuals will not need to get a medical evaluation prior, to purchasing hearing aids if that will reduce the workforce demands for audiologists?","No, actually I'm slightly optimistic that maybe that will increase the workforce demands. And thank you for acknowledging this new guidance and this new initiative that's taking place within the FDA and the Federal Trade Commission. That briefly as you mentioned removes the requirement for a medical clearance for hearing aid purchase.","Fantastic, that's good news. Thank you for sharing. Thank you so much.>>Thank you. Thank you.",10810438,10810434,"[10810435, 10810436, 10810437]",23944
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[11324000],Member,Not In Committee,Chair,16,104121,116,Legislator,State Agency Rep,Legislator,"And has there been any effort to encourage departments that you don't have authority over to do assessments, audits, self-assessments? And do you know of any of the departments that are doing that?","We have engaged departments and agencies that we do not have authority over. They are aware of the programs. Quite a few of them sit in our monthly ISO meetings and our biweekly AISO meetings. There are a few that have had independent assessments, or in the process of. And we are hoping that there is continued adoption over this next fiscal year.","Ms. Irwin, you want to start?",11324002,11323984,[11324000],24311
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[14896617, 15130909]",Member,Not In Committee,Chair,83,18255,22,Legislator,State Agency Rep,Legislator,"Yes. This is to Mr. Rodriguez. I was here in 2012 when this started. Wondering, when a program comes in, it's never good to do one time funding, with unspecified objectives. Otherwise it'll just kind of go away. That's my experience of being a state secretary and running an organization, an agency., So, direct question to you is do you need any legislative guidance or direction from the Assembly to run this program?","I think we're seeking your input and we have sought input from both houses of the Legislature on how they would, what element they'd like to see as we move forward. And so that's important to us on all issues and this is no different, so in a way we don't need quote unquote anything, but we are seeking your input. I mean this is-","Okay, thank you. Mr. Chavez?",14896618,14896614,"[14896617, 15130909]",28223
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[4967407, 4967409, 4967411]",Member,Not In Committee,Member,31,14856,31,Legislator,General Public,Legislator,"Consent calendar members. Does any member wish to remove an item from the consent calendar?, Seeing and hearing none., The clerk will read the second day consent calendar.","Assembly Bill 2390 by Assemblymember Brown, an act relating to juveniles.",File items 54 through 56 pass and retain.,4967413,4967405,"[4967407, 4967409, 4967411]",6306
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[4967407, 4967409, 4967411]",Member,Not In Committee,Member,31,14856,31,Legislator,General Public,Legislator,"Consent calendar members. Does any member wish to remove an item from the consent calendar?, Seeing and hearing none., The clerk will read the second day consent calendar.","Assembly Bill 2390 by Assemblymember Brown, an act relating to juveniles.",File items 54 through 56 pass and retain.,4967413,4967405,"[4967407, 4967409, 4967411]",6306
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[6300710],Member,Not In Committee,Member,68,3387,94,Legislator,State Agency Rep,Legislator,"How many of these kind of pilots do you have in process now? How many of these fundraising, revenue generating pilot projects are in process statewide?","So I wouldn't kind of deem this a revenue generation project. I would say that the most similar project to this would be the project that's in the Governor's Budget. It's the community liaison project. It was on, I think, vote only earlier in this agenda. It was several $100,000 for two individuals.","Good, any questions on this? Is there a motion? All right, public comment? Sorry, Senator Nielsen?",6300714,6300708,[6300710],7008
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[4125200],Member,Not In Committee,Member,4657,5486,59,Legislator,State Const Office,Legislator,And then did you do any surveys to see where they went?,"I didn't, our department didn't but we've looked at other research, it's not robust but we know a number went on in their lives. Particularly younger teachers went on to pursue other careers as attractive as teaching was to them the uncertainty and being hired and then laid off was part of it and others went back to retire instead of coming back into the professional.","Okay, now we'll move to my Vice Chair, Senator Moorlach.",4125202,4125190,[4125200],5335
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[814936],Member,Not In Committee,Chair,4,1133,113,Legislator,General Public,Legislator,"And so if you, if a school participates in an activity that's not a traditional classroom activity, does that in and of itself say that you will lose a certain amount? Or is it only if you cannot show in your audit, meaning if your blended activity has a cost, do you put that cost in your audit to say, while we weren't in class 80% of the time, we would submit that we had this activity and here is our cost. It was a blended activity but here is our cost for it, and that the department will see that it's something that can still be reimbursed.","Right, and that they're all aimed at the educational minutes that statute requires of all public schools, traditional and charter.",Mr. Thurmond?,814950,814776,[814936],850
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[13938481],Member,Not In Committee,Not In Committee,68,14487,7356,Legislator,Unlabeled,Unlabeled,"Do you have a lot of accrued testimony of individuals who really have been helped? Individual human beings that can come forward publicly and say, gee, this is what it did to my life?","Well, we do have quite a number of people but they are not here today, we did not ask them to make the trip. But yes, if you would like to hear from them in the form of written testimony or whatever, we would be happy to supply that.","Bill Remak, founding board member of the California Chronic Care Coalition, and ambassador for Americans for Cures Foundation, in strong opposition.",13938483,13938451,[13938481],28333
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[13204438],Member,Not In Committee,Chair,68,3054,55,Legislator,State Agency Rep,Legislator,"Chairman, these new licenses, they're costing more money. Couldn't those be charged a higher fee, then? Why don't we do that on that class of applicant.","So that is something that, we would consider that overall for drivers license. We would look at our whole portfolio of the cards that we produce today. And we would take into consideration, looking at what the cost of the card is to produce, and maybe a fee increase.","But we our reaction was a tremendous cost to the taxpayers. Questions, other questions in the dais, I'd like to hold this matter to, I just gotta settle it in my own mind and entertain options. Senator Nielson.",13204439,13204436,[13204438],27412
