"VOTE STATS: For any given legislator, what is the percent of bills on which they vote Aye, percent of bills on which they vote No, and percent of bills on which they abstain (all locations, all bills, all votes)"


first,last,pid,total,aye,noe,abst,aye_percent,noe_percent,abs_percent
Richard,Roth,106,2622,2454,81,87,0.9359,0.0309,0.0332
Ricardo,Lara,107,2674,2563,13,98,0.9585,0.0049,0.0366
James,Gallagher,108,2343,1371,754,218,0.5851,0.3218,0.0930
Beth,Gaines,109,1918,991,659,268,0.5167,0.3436,0.1397
Toni,Atkins,110,1782,1726,5,51,0.9686,0.0028,0.0286
William,Brough,111,1894,1093,627,174,0.5771,0.3310,0.0919
Cristina,Garcia,112,2190,2091,31,68,0.9548,0.0142,0.0311
Patrick,O'Donnell,113,2143,1969,40,134,0.9188,0.0187,0.0625
Jim,Frazier,114,1952,1755,67,130,0.8991,0.0343,0.0666
Ian,Calderon,115,2279,2217,12,50,0.9728,0.0053,0.0219
Ed,Chau,116,2078,2036,11,31,0.9798,0.0053,0.0149
Richard,Gordon,117,1995,1847,23,125,0.9258,0.0115,0.0627
Tom,Daly,118,2303,2116,28,159,0.9188,0.0122,0.0690
Jim,Patterson,119,2105,1246,658,201,0.5919,0.3126,0.0955
Anthony,Rendon,120,2074,2017,17,40,0.9725,0.0082,0.0193
Sharon,Runner,4656,1674,769,272,633,0.4594,0.1625,0.3781
John,Moorlach,4657,2538,1798,605,135,0.7084,0.2384,0.0532
Steve,Glazer,10481,2200,2056,96,48,0.9345,0.0436,0.0218
Joaquin,Arambula,17377,833,765,35,33,0.9184,0.0420,0.0396
