"VOTE STATS: For any given legislator, what is the percent of bills on which they vote Aye, and the percent of bills on which they vote No, and percent of bills on which they abstain per committee on which the legislator sits."


first,last,cid,name,total,aye,noe,abst,aye_percent,noe_percent,abs_percent
Tom,Lackey,12,Assembly Standing Committee on Health,166,130,27,9,0.7831,0.1627,0.0542
Tom,Lackey,24,Assembly Standing Committee on Public Safety,92,66,23,3,0.7174,0.2500,0.0326
Tom,Lackey,435,Assembly Floor,1782,1354,421,7,0.7598,0.2363,0.0039
Evan,Low,4,"Assembly Standing Committee on Arts, Entertainment, Sports, Tourism, and Internet Media",3,3,0,0,1.0000,0.0000,0.0000
Evan,Low,9,Assembly Standing Committee on Elections and Redistricting,14,13,0,1,0.9286,0.0000,0.0714
Evan,Low,13,Assembly Standing Committee on Higher Education,66,59,2,5,0.8939,0.0303,0.0758
Evan,Low,22,Assembly Standing Committee on Privacy and Consumer Protection,40,39,1,0,0.9750,0.0250,0.0000
Evan,Low,435,Assembly Floor,1782,1744,17,21,0.9787,0.0095,0.0118
Das,Williams,6,Assembly Standing Committee on Budget,15,14,0,1,0.9333,0.0000,0.0667
Das,Williams,13,Assembly Standing Committee on Higher Education,66,59,7,0,0.8939,0.1061,0.0000
Das,Williams,21,Assembly Standing Committee on Natural Resources,137,124,13,0,0.9051,0.0949,0.0000
Das,Williams,28,Assembly Standing Committee on Utilities and Commerce,55,51,0,4,0.9273,0.0000,0.0727
Das,Williams,30,"Assembly Standing Committee on Water, Parks, and Wildlife",47,42,4,1,0.8936,0.0851,0.0213
Das,Williams,435,Assembly Floor,1782,1673,21,88,0.9388,0.0118,0.0494
Cheryl,Brown,1,Assembly Standing Committee on Aging and Long-Term Care,7,7,0,0,1.0000,0.0000,0.0000
Cheryl,Brown,27,Assembly Standing Committee on Transportation,55,50,4,1,0.9091,0.0727,0.0182
Cheryl,Brown,435,Assembly Floor,1782,1689,22,71,0.9478,0.0123,0.0398
Matthew,Harper,6,Assembly Standing Committee on Budget,9,4,4,1,0.4444,0.4444,0.1111
Matthew,Harper,9,Assembly Standing Committee on Elections and Redistricting,14,2,12,0,0.1429,0.8571,0.0000
Matthew,Harper,21,Assembly Standing Committee on Natural Resources,137,69,55,13,0.5036,0.4015,0.0949
Matthew,Harper,30,"Assembly Standing Committee on Water, Parks, and Wildlife",47,14,27,6,0.2979,0.5745,0.1277
Matthew,Harper,435,Assembly Floor,1782,920,706,156,0.5163,0.3962,0.0875
Kristin,Olsen,8,Assembly Standing Committee on Education,47,34,2,11,0.7234,0.0426,0.2340
Kristin,Olsen,12,Assembly Standing Committee on Health,75,49,12,14,0.6533,0.1600,0.1867
Kristin,Olsen,13,Assembly Standing Committee on Higher Education,20,13,3,4,0.6500,0.1500,0.2000
Kristin,Olsen,22,Assembly Standing Committee on Privacy and Consumer Protection,15,12,1,2,0.8000,0.0667,0.1333
Kristin,Olsen,30,"Assembly Standing Committee on Water, Parks, and Wildlife",31,21,8,2,0.6774,0.2581,0.0645
Kristin,Olsen,435,Assembly Floor,1782,1231,392,159,0.6908,0.2200,0.0892
Jacqui,Irwin,0,Assembly Standing Committee on Accountability and Administrative Review,10,10,0,0,1.0000,0.0000,0.0000
Jacqui,Irwin,2,Assembly Standing Committee on Agriculture,7,7,0,0,1.0000,0.0000,0.0000
Jacqui,Irwin,6,Assembly Standing Committee on Budget,9,9,0,0,1.0000,0.0000,0.0000
Jacqui,Irwin,13,Assembly Standing Committee on Higher Education,66,62,3,1,0.9394,0.0455,0.0152
Jacqui,Irwin,29,Assembly Standing Committee on Veterans Affairs,31,31,0,0,1.0000,0.0000,0.0000
Jacqui,Irwin,435,Assembly Floor,1782,1647,106,29,0.9242,0.0595,0.0163
Miguel,Santiago,3,Assembly Standing Committee on Appropriations,164,160,2,2,0.9756,0.0122,0.0122
Miguel,Santiago,8,Assembly Standing Committee on Education,135,125,8,2,0.9259,0.0593,0.0148
Miguel,Santiago,12,Assembly Standing Committee on Health,166,151,7,8,0.9096,0.0422,0.0482
Miguel,Santiago,13,Assembly Standing Committee on Higher Education,66,63,3,0,0.9545,0.0455,0.0000
Miguel,Santiago,24,Assembly Standing Committee on Public Safety,92,84,4,4,0.9130,0.0435,0.0435
Miguel,Santiago,28,Assembly Standing Committee on Utilities and Commerce,62,60,0,2,0.9677,0.0000,0.0323
Miguel,Santiago,435,Assembly Floor,1782,1752,7,23,0.9832,0.0039,0.0129
Ling,Chang,3,Assembly Standing Committee on Appropriations,347,182,97,68,0.5245,0.2795,0.1960
Ling,Chang,22,Assembly Standing Committee on Privacy and Consumer Protection,40,35,0,5,0.8750,0.0000,0.1250
Ling,Chang,435,Assembly Floor,1782,1227,389,166,0.6886,0.2183,0.0932
Scott,Wilk,6,Assembly Standing Committee on Budget,15,10,5,0,0.6667,0.3333,0.0000
Scott,Wilk,11,Assembly Standing Committee on Governmental Organization,25,22,0,3,0.8800,0.0000,0.1200
Scott,Wilk,22,Assembly Standing Committee on Privacy and Consumer Protection,40,33,3,4,0.8250,0.0750,0.1000
Scott,Wilk,435,Assembly Floor,1782,1295,459,28,0.7267,0.2576,0.0157
Mark,Stone,15,Assembly Standing Committee on Human Services,68,68,0,0,1.0000,0.0000,0.0000
Mark,Stone,18,Assembly Standing Committee on Judiciary,144,138,6,0,0.9583,0.0417,0.0000
Mark,Stone,21,Assembly Standing Committee on Natural Resources,137,116,21,0,0.8467,0.1533,0.0000
Mark,Stone,435,Assembly Floor,1782,1739,41,2,0.9759,0.0230,0.0011
Jim,Cooper,6,Assembly Standing Committee on Budget,15,15,0,0,1.0000,0.0000,0.0000
Jim,Cooper,11,Assembly Standing Committee on Governmental Organization,25,23,0,2,0.9200,0.0000,0.0800
Jim,Cooper,16,Assembly Standing Committee on Insurance,25,25,0,0,1.0000,0.0000,0.0000
Jim,Cooper,22,Assembly Standing Committee on Privacy and Consumer Protection,40,37,0,3,0.9250,0.0000,0.0750
Jim,Cooper,435,Assembly Floor,1782,1636,36,110,0.9181,0.0202,0.0617
Kevin,McCarty,6,Assembly Standing Committee on Budget,15,15,0,0,1.0000,0.0000,0.0000
Kevin,McCarty,8,Assembly Standing Committee on Education,135,120,9,6,0.8889,0.0667,0.0444
Kevin,McCarty,10,Assembly Standing Committee on Environmental Safety and Toxic Materials,3,3,0,0,1.0000,0.0000,0.0000
Kevin,McCarty,19,Assembly Standing Committee on Labor and Employment,27,27,0,0,1.0000,0.0000,0.0000
Kevin,McCarty,21,Assembly Standing Committee on Natural Resources,137,122,11,4,0.8905,0.0803,0.0292
Kevin,McCarty,435,Assembly Floor,1782,1727,15,40,0.9691,0.0084,0.0224
Bill,Quirk,2,Assembly Standing Committee on Agriculture,7,7,0,0,1.0000,0.0000,0.0000
Bill,Quirk,3,Assembly Standing Committee on Appropriations,369,362,4,3,0.9810,0.0108,0.0081
Bill,Quirk,25,Assembly Standing Committee on Revenue and Taxation,31,29,0,2,0.9355,0.0000,0.0645
Bill,Quirk,28,Assembly Standing Committee on Utilities and Commerce,62,58,0,4,0.9355,0.0000,0.0645
Bill,Quirk,435,Assembly Floor,1782,1706,28,48,0.9574,0.0157,0.0269
Ted,Gaines,49,"Senate Standing Committee on Business, Professions and Economic Development",31,24,5,2,0.7742,0.1613,0.0645
Ted,Gaines,52,"Senate Standing Committee on Energy, Utilities and Communications",42,24,6,12,0.5714,0.1429,0.2857
Ted,Gaines,53,Senate Standing Committee on Environmental Quality,76,45,21,10,0.5921,0.2763,0.1316
Ted,Gaines,55,Senate Standing Committee on Governmental Organization,82,59,7,16,0.7195,0.0854,0.1951
Ted,Gaines,58,Senate Standing Committee on Insurance,12,11,1,0,0.9167,0.0833,0.0000
Ted,Gaines,65,Senate Standing Committee on Transportation and Housing,184,116,32,36,0.6304,0.1739,0.1957
Ted,Gaines,452,Senate Floor,2169,1550,490,129,0.7146,0.2259,0.0595
Bill,Monning,48,Senate Standing Committee on Budget and Fiscal Review,50,49,0,1,0.9800,0.0000,0.0200
Bill,Monning,50,Senate Standing Committee on Education,187,176,5,6,0.9412,0.0267,0.0321
Bill,Monning,56,Senate Standing Committee on Health,194,185,0,9,0.9536,0.0000,0.0464
Bill,Monning,59,Senate Standing Committee on Judiciary,202,191,7,4,0.9455,0.0347,0.0198
Bill,Monning,61,Senate Standing Committee on Natural Resources and Water,76,70,4,2,0.9211,0.0526,0.0263
Bill,Monning,63,Senate Standing Committee on Public Safety,162,152,5,5,0.9383,0.0309,0.0309
Bill,Monning,452,Senate Floor,2169,2092,19,58,0.9645,0.0088,0.0267
Jeff,Stone,48,Senate Standing Committee on Budget and Fiscal Review,50,18,24,8,0.3600,0.4800,0.1600
Jeff,Stone,60,Senate Standing Committee on Labor and Industrial Relations,56,21,32,3,0.3750,0.5714,0.0536
Jeff,Stone,61,Senate Standing Committee on Natural Resources and Water,76,40,34,2,0.5263,0.4474,0.0263
Jeff,Stone,63,Senate Standing Committee on Public Safety,162,101,54,7,0.6235,0.3333,0.0432
Jeff,Stone,452,Senate Floor,2169,1513,550,106,0.6976,0.2536,0.0489
Adam,Gray,1,Assembly Standing Committee on Aging and Long-Term Care,7,7,0,0,1.0000,0.0000,0.0000
Adam,Gray,10,Assembly Standing Committee on Environmental Safety and Toxic Materials,3,2,1,0,0.6667,0.3333,0.0000
Adam,Gray,11,Assembly Standing Committee on Governmental Organization,25,25,0,0,1.0000,0.0000,0.0000
Adam,Gray,435,Assembly Floor,1782,1584,118,80,0.8889,0.0662,0.0449
Mike,Gipson,1,Assembly Standing Committee on Aging and Long-Term Care,7,3,0,4,0.4286,0.0000,0.5714
Mike,Gipson,11,Assembly Standing Committee on Governmental Organization,25,19,0,6,0.7600,0.0000,0.2400
Mike,Gipson,25,Assembly Standing Committee on Revenue and Taxation,31,29,2,0,0.9355,0.0645,0.0000
Mike,Gipson,435,Assembly Floor,1782,1716,11,55,0.9630,0.0062,0.0309
Marie,Waldron,11,Assembly Standing Committee on Governmental Organization,25,19,0,6,0.7600,0.0000,0.2400
Marie,Waldron,12,Assembly Standing Committee on Health,166,128,18,20,0.7711,0.1084,0.1205
Marie,Waldron,20,Assembly Standing Committee on Local Government,100,67,24,9,0.6700,0.2400,0.0900
Marie,Waldron,23,"Assembly Standing Committee on Public Employees, Retirement, and Social Security",5,2,1,2,0.4000,0.2000,0.4000
Marie,Waldron,435,Assembly Floor,1782,1187,450,145,0.6661,0.2525,0.0814
Philip,Ting,6,Assembly Standing Committee on Budget,15,15,0,0,1.0000,0.0000,0.0000
Philip,Ting,7,Assembly Standing Committee on Business and Professions,89,83,2,4,0.9326,0.0225,0.0449
Philip,Ting,18,Assembly Standing Committee on Judiciary,52,46,4,2,0.8846,0.0769,0.0385
Philip,Ting,28,Assembly Standing Committee on Utilities and Commerce,62,50,0,12,0.8065,0.0000,0.1935
Philip,Ting,435,Assembly Floor,1782,1735,24,23,0.9736,0.0135,0.0129
Kevin,Mullin,6,Assembly Standing Committee on Budget,15,15,0,0,1.0000,0.0000,0.0000
Kevin,Mullin,7,Assembly Standing Committee on Business and Professions,89,86,1,2,0.9663,0.0112,0.0225
Kevin,Mullin,9,Assembly Standing Committee on Elections and Redistricting,21,20,0,1,0.9524,0.0000,0.0476
Kevin,Mullin,14,Assembly Standing Committee on Housing and Community Development,35,23,0,12,0.6571,0.0000,0.3429
Kevin,Mullin,25,Assembly Standing Committee on Revenue and Taxation,31,29,1,1,0.9355,0.0323,0.0323
Kevin,Mullin,435,Assembly Floor,1782,1750,7,25,0.9820,0.0039,0.0140
Kansen,Chu,4,"Assembly Standing Committee on Arts, Entertainment, Sports, Tourism, and Internet Media",8,8,0,0,1.0000,0.0000,0.0000
Kansen,Chu,16,Assembly Standing Committee on Insurance,5,5,0,0,1.0000,0.0000,0.0000
Kansen,Chu,19,Assembly Standing Committee on Labor and Employment,27,26,0,1,0.9630,0.0000,0.0370
Kansen,Chu,27,Assembly Standing Committee on Transportation,104,93,6,5,0.8942,0.0577,0.0481
Kansen,Chu,435,Assembly Floor,1782,1738,9,35,0.9753,0.0051,0.0196
Henry,Perea,435,Assembly Floor,892,845,14,33,0.9473,0.0157,0.0370
Rudy,Salas,2,Assembly Standing Committee on Agriculture,7,6,0,1,0.8571,0.0000,0.1429
Rudy,Salas,7,Assembly Standing Committee on Business and Professions,39,39,0,0,1.0000,0.0000,0.0000
Rudy,Salas,11,Assembly Standing Committee on Governmental Organization,25,23,0,2,0.9200,0.0000,0.0800
Rudy,Salas,29,Assembly Standing Committee on Veterans Affairs,31,31,0,0,1.0000,0.0000,0.0000
Rudy,Salas,30,"Assembly Standing Committee on Water, Parks, and Wildlife",33,29,4,0,0.8788,0.1212,0.0000
Rudy,Salas,435,Assembly Floor,1782,1640,110,32,0.9203,0.0617,0.0180
Marc,Steinorth,11,Assembly Standing Committee on Governmental Organization,25,24,0,1,0.9600,0.0000,0.0400
Marc,Steinorth,12,Assembly Standing Committee on Health,166,103,35,28,0.6205,0.2108,0.1687
Marc,Steinorth,14,Assembly Standing Committee on Housing and Community Development,35,28,5,2,0.8000,0.1429,0.0571
Marc,Steinorth,435,Assembly Floor,1782,1215,477,90,0.6818,0.2677,0.0505
Adrin,Nazarian,4,"Assembly Standing Committee on Arts, Entertainment, Sports, Tourism, and Internet Media",7,7,0,0,1.0000,0.0000,0.0000
Adrin,Nazarian,6,Assembly Standing Committee on Budget,15,15,0,0,1.0000,0.0000,0.0000
Adrin,Nazarian,9,Assembly Standing Committee on Elections and Redistricting,14,14,0,0,1.0000,0.0000,0.0000
Adrin,Nazarian,12,Assembly Standing Committee on Health,166,146,6,14,0.8795,0.0361,0.0843
Adrin,Nazarian,27,Assembly Standing Committee on Transportation,104,92,5,7,0.8846,0.0481,0.0673
Adrin,Nazarian,435,Assembly Floor,1782,1698,11,73,0.9529,0.0062,0.0410
Roger,Hernandez,435,Assembly Floor,1782,1579,15,188,0.8861,0.0084,0.1055
Eduardo,Garcia,3,Assembly Standing Committee on Appropriations,369,346,2,21,0.9377,0.0054,0.0569
Eduardo,Garcia,11,Assembly Standing Committee on Governmental Organization,25,25,0,0,1.0000,0.0000,0.0000
Eduardo,Garcia,27,Assembly Standing Committee on Transportation,104,77,1,26,0.7404,0.0096,0.2500
Eduardo,Garcia,28,Assembly Standing Committee on Utilities and Commerce,39,34,0,5,0.8718,0.0000,0.1282
Eduardo,Garcia,30,"Assembly Standing Committee on Water, Parks, and Wildlife",19,17,0,2,0.8947,0.0000,0.1053
Eduardo,Garcia,435,Assembly Floor,1782,1719,7,56,0.9646,0.0039,0.0314
Eric,Linder,11,Assembly Standing Committee on Governmental Organization,25,24,0,1,0.9600,0.0000,0.0400
Eric,Linder,13,Assembly Standing Committee on Higher Education,66,57,5,4,0.8636,0.0758,0.0606
Eric,Linder,19,Assembly Standing Committee on Labor and Employment,2,1,0,1,0.5000,0.0000,0.5000
Eric,Linder,20,Assembly Standing Committee on Local Government,100,74,22,4,0.7400,0.2200,0.0400
Eric,Linder,27,Assembly Standing Committee on Transportation,104,89,11,4,0.8558,0.1058,0.0385
Eric,Linder,435,Assembly Floor,1782,1367,307,108,0.7671,0.1723,0.0606
David,Hadley,1,Assembly Standing Committee on Aging and Long-Term Care,7,5,1,1,0.7143,0.1429,0.1429
David,Hadley,4,"Assembly Standing Committee on Arts, Entertainment, Sports, Tourism, and Internet Media",8,5,1,2,0.6250,0.1250,0.2500
David,Hadley,21,Assembly Standing Committee on Natural Resources,137,91,23,23,0.6642,0.1679,0.1679
David,Hadley,28,Assembly Standing Committee on Utilities and Commerce,62,38,14,10,0.6129,0.2258,0.1613
David,Hadley,435,Assembly Floor,1782,1271,321,190,0.7132,0.1801,0.1066
Melissa,Melendez,6,Assembly Standing Committee on Budget,15,12,3,0,0.8000,0.2000,0.0000
Melissa,Melendez,16,Assembly Standing Committee on Insurance,5,4,1,0,0.8000,0.2000,0.0000
Melissa,Melendez,24,Assembly Standing Committee on Public Safety,92,56,25,11,0.6087,0.2717,0.1196
Melissa,Melendez,27,Assembly Standing Committee on Transportation,104,77,19,8,0.7404,0.1827,0.0769
Melissa,Melendez,435,Assembly Floor,1782,1045,529,208,0.5864,0.2969,0.1167
Brian,Jones,3,Assembly Standing Committee on Appropriations,369,151,165,53,0.4092,0.4472,0.1436
Brian,Jones,7,Assembly Standing Committee on Business and Professions,89,59,13,17,0.6629,0.1461,0.1910
Brian,Jones,21,Assembly Standing Committee on Natural Resources,60,31,13,16,0.5167,0.2167,0.2667
Brian,Jones,435,Assembly Floor,1782,1126,563,93,0.6319,0.3159,0.0522
Travis,Allen,6,Assembly Standing Committee on Budget,15,6,6,3,0.4000,0.4000,0.2000
Travis,Allen,9,Assembly Standing Committee on Elections and Redistricting,21,2,11,8,0.0952,0.5238,0.3810
Travis,Allen,16,Assembly Standing Committee on Insurance,25,11,7,7,0.4400,0.2800,0.2800
Travis,Allen,435,Assembly Floor,1782,1059,628,95,0.5943,0.3524,0.0533
Shirley,Weber,3,Assembly Standing Committee on Appropriations,369,351,5,13,0.9512,0.0136,0.0352
Shirley,Weber,8,Assembly Standing Committee on Education,135,118,7,10,0.8741,0.0519,0.0741
Shirley,Weber,9,Assembly Standing Committee on Elections and Redistricting,14,12,1,1,0.8571,0.0714,0.0714
Shirley,Weber,13,Assembly Standing Committee on Higher Education,66,61,3,2,0.9242,0.0455,0.0303
Shirley,Weber,435,Assembly Floor,1782,1706,14,62,0.9574,0.0079,0.0348
Ken,Cooley,11,Assembly Standing Committee on Governmental Organization,25,25,0,0,1.0000,0.0000,0.0000
Ken,Cooley,16,Assembly Standing Committee on Insurance,25,25,0,0,1.0000,0.0000,0.0000
Ken,Cooley,20,Assembly Standing Committee on Local Government,100,95,3,2,0.9500,0.0300,0.0200
Ken,Cooley,23,"Assembly Standing Committee on Public Employees, Retirement, and Social Security",5,4,1,0,0.8000,0.2000,0.0000
Ken,Cooley,435,Assembly Floor,1782,1688,49,45,0.9473,0.0275,0.0253
Mike,Gatto,7,Assembly Standing Committee on Business and Professions,89,74,15,0,0.8315,0.1685,0.0000
Mike,Gatto,16,Assembly Standing Committee on Insurance,25,24,1,0,0.9600,0.0400,0.0000
Mike,Gatto,22,Assembly Standing Committee on Privacy and Consumer Protection,40,40,0,0,1.0000,0.0000,0.0000
Mike,Gatto,28,Assembly Standing Committee on Utilities and Commerce,40,40,0,0,1.0000,0.0000,0.0000
Mike,Gatto,435,Assembly Floor,1782,1644,138,0,0.9226,0.0774,0.0000
Brian,Dahle,1,Assembly Standing Committee on Aging and Long-Term Care,4,2,2,0,0.5000,0.5000,0.0000
Brian,Dahle,7,Assembly Standing Committee on Business and Professions,39,28,3,8,0.7179,0.0769,0.2051
Brian,Dahle,10,Assembly Standing Committee on Environmental Safety and Toxic Materials,3,1,0,2,0.3333,0.0000,0.6667
Brian,Dahle,16,Assembly Standing Committee on Insurance,5,4,1,0,0.8000,0.2000,0.0000
Brian,Dahle,28,Assembly Standing Committee on Utilities and Commerce,59,27,20,12,0.4576,0.3390,0.2034
Brian,Dahle,435,Assembly Floor,1782,1095,484,203,0.6145,0.2716,0.1139
Ben,Hueso,47,Senate Standing Committee on Banking and Financial Institutions,4,4,0,0,1.0000,0.0000,0.0000
Ben,Hueso,52,"Senate Standing Committee on Energy, Utilities and Communications",80,79,1,0,0.9875,0.0125,0.0000
Ben,Hueso,55,Senate Standing Committee on Governmental Organization,82,72,1,9,0.8780,0.0122,0.1098
Ben,Hueso,61,Senate Standing Committee on Natural Resources and Water,76,70,3,3,0.9211,0.0395,0.0395
Ben,Hueso,66,Senate Standing Committee on Veterans Affairs,13,13,0,0,1.0000,0.0000,0.0000
Ben,Hueso,452,Senate Floor,2169,1988,5,176,0.9166,0.0023,0.0811
Jean,Fuller,452,Senate Floor,2169,1512,514,143,0.6971,0.2370,0.0659
Matthew,Dababneh,16,Assembly Standing Committee on Insurance,25,25,0,0,1.0000,0.0000,0.0000
Matthew,Dababneh,22,Assembly Standing Committee on Privacy and Consumer Protection,40,39,1,0,0.9750,0.0250,0.0000
Matthew,Dababneh,25,Assembly Standing Committee on Revenue and Taxation,31,25,2,4,0.8065,0.0645,0.1290
Matthew,Dababneh,435,Assembly Floor,1782,1705,35,42,0.9568,0.0196,0.0236
Mike,Morrell,52,"Senate Standing Committee on Energy, Utilities and Communications",80,40,27,13,0.5000,0.3375,0.1625
Mike,Morrell,62,Senate Standing Committee on Public Employment and Retirement,20,7,9,4,0.3500,0.4500,0.2000
Mike,Morrell,452,Senate Floor,2169,1459,624,86,0.6727,0.2877,0.0396
Tony,Mendoza,46,Senate Standing Committee on Appropriations,201,198,0,3,0.9851,0.0000,0.0149
Tony,Mendoza,49,"Senate Standing Committee on Business, Professions and Economic Development",114,109,0,5,0.9561,0.0000,0.0439
Tony,Mendoza,50,Senate Standing Committee on Education,210,185,5,20,0.8810,0.0238,0.0952
Tony,Mendoza,60,Senate Standing Committee on Labor and Industrial Relations,56,54,2,0,0.9643,0.0357,0.0000
Tony,Mendoza,65,Senate Standing Committee on Transportation and Housing,184,174,4,6,0.9457,0.0217,0.0326
Tony,Mendoza,452,Senate Floor,2169,2103,11,55,0.9696,0.0051,0.0254
Lorena,Gonzalez,3,Assembly Standing Committee on Appropriations,164,157,3,4,0.9573,0.0183,0.0244
Lorena,Gonzalez,435,Assembly Floor,1782,1729,22,31,0.9703,0.0123,0.0174
Tom,Berryhill,45,Senate Standing Committee on Agriculture,1,1,0,0,1.0000,0.0000,0.0000
Tom,Berryhill,55,Senate Standing Committee on Governmental Organization,82,53,7,22,0.6463,0.0854,0.2683
Tom,Berryhill,57,Senate Standing Committee on Human Services,35,17,5,13,0.4857,0.1429,0.3714
Tom,Berryhill,58,Senate Standing Committee on Insurance,12,11,1,0,0.9167,0.0833,0.0000
Tom,Berryhill,452,Senate Floor,2169,1459,426,284,0.6727,0.1964,0.1309
Bob,Wieckowski,49,"Senate Standing Committee on Business, Professions and Economic Development",114,101,1,12,0.8860,0.0088,0.1053
Bob,Wieckowski,53,Senate Standing Committee on Environmental Quality,76,67,5,4,0.8816,0.0658,0.0526
Bob,Wieckowski,58,Senate Standing Committee on Insurance,12,11,0,1,0.9167,0.0000,0.0833
Bob,Wieckowski,59,Senate Standing Committee on Judiciary,202,185,9,8,0.9158,0.0446,0.0396
Bob,Wieckowski,65,Senate Standing Committee on Transportation and Housing,184,157,4,23,0.8533,0.0217,0.1250
Bob,Wieckowski,452,Senate Floor,2169,2100,7,62,0.9682,0.0032,0.0286
