"PARTICIPATION: For each committee, rank all committee members by who, on average, makes the longest uninterrupted statements."


cid,committee name,pid,first,last,avg_statements_words,avg_statements_time,totalStatements
,,8,Marc,Levine,130.0000,42.0000,1
,,36,Adrin,Nazarian,82.0000,29.6667,3
,,86,Jay,Obernolte,46.4762,18.5714,21
,,32,Kansen,Chu,36.8261,19.8261,23
,,81,Jose,Medina,29.6250,14.7500,8
5,Assembly Standing Committee on Banking and Finance
,,40,David,Hadley,147.0000,58.3000,10
,,20,Mark,Stone,139.1429,46.5714,7
,,82,Young,Kim,109.5000,45.7500,4
,,50,Matthew,Dababneh,66.8425,21.7165,381
,,3,Susan,Bonilla,57.1333,20.5333,15
,,67,Sebastian,Ridley-Thomas,49.5000,20.0000,16
,,11,Evan,Low,49.2857,21.4286,7
,,46,Mike,Gatto,47.9200,15.9600,25
,,43,Travis,Allen,47.3077,15.2500,52
,,13,Cheryl,Brown,35.0417,14.8750,48
,,5,"K.H. ""Katcho""",Achadjian,27.4783,9.6522,23
,,116,Ed,Chau,27.1923,12.0000,26
6,Assembly Standing Committee on Budget
,,2,Richard,Bloom,1078.0000,446.0000,1
,,119,Jim,Patterson,397.5000,173.5000,2
,,36,Adrin,Nazarian,288.2500,127.5000,4
,,14,Matthew,Harper,279.0000,138.0000,1
,,85,Rob,Bonta,255.5000,81.5000,2
,,31,Kevin,Mullin,218.7500,89.0000,4
,,19,Scott,Wilk,204.0000,72.3333,3
,,76,Nora,Campos,202.5714,86.5714,7
,,22,Kevin,McCarty,202.4211,72.5263,19
,,82,Young,Kim,190.7500,81.2500,4
,,69,Freddie,Rodriguez,186.6000,59.6000,5
,,12,Das,Williams,161.2500,86.2500,8
,,4,Tony,Thurmond,145.1818,52.7879,33
,,117,Richard,Gordon,144.0000,68.5000,2
,,83,Rocky,Chavez,132.4545,50.5455,11
,,21,Jim,Cooper,121.6667,36.3333,9
,,77,Shannon,Grove,118.0000,43.5000,2
,,7,David,Chiu,114.4000,36.1000,10
,,91,Frank,Bigelow,111.0909,42.6364,11
,,41,Melissa,Melendez,100.8667,38.8000,15
,,86,Jay,Obernolte,98.6818,32.0227,44
,,10,Tom,Lackey,63.0000,26.3333,3
,,113,Patrick,O'Donnell,58.1250,20.0000,16
,,30,Philip,Ting,34.1929,15.2929,140
7,Assembly Standing Committee on Business and Professions
,,31,Kevin,Mullin,102.9048,38.3810,21
,,76,Nora,Campos,89.3704,36.4444,27
,,72,Jim,Wood,86.7536,31.0290,138
,,73,Susan,Eggman,83.4167,25.6667,48
,,47,Brian,Dahle,83.4000,27.0667,15
,,74,Catharine,Baker,71.4796,22.4388,98
,,46,Mike,Gatto,68.8043,24.7391,46
,,30,Philip,Ting,64.6667,24.9259,27
,,78,Chris,Holden,54.4348,23.6957,23
,,83,Rocky,Chavez,52.7727,19.3636,22
,,71,Bill,Dodd,49.6774,19.6774,62
,,2,Richard,Bloom,45.0270,19.0811,37
,,42,Brian,Jones,40.2157,15.4771,153
,,34,Rudy,Salas,33.3750,14.3386,632
,,111,William,Brough,19.4493,10.2319,69
,,80,Jimmy,Gomez,15.0000,5.7500,4
8,Assembly Standing Committee on Education
,,44,Shirley,Weber,115.7453,36.6966,267
,,4,Tony,Thurmond,105.5523,35.8372,172
,,15,Kristin,Olsen,99.2241,33.8793,116
,,82,Young,Kim,93.6975,38.3361,119
,,17,Miguel,Santiago,66.6500,22.6000,20
,,22,Kevin,McCarty,64.6235,22.7529,85
,,113,Patrick,O'Donnell,28.7031,11.4419,1593
9,Assembly Standing Committee on Elections and Redistricting
,,36,Adrin,Nazarian,188.0000,83.7143,7
,,31,Kevin,Mullin,127.6316,49.0000,19
,,43,Travis,Allen,115.9130,38.7391,46
,,11,Evan,Low,86.5000,29.0000,6
,,117,Richard,Gordon,69.6667,38.3333,3
,,14,Matthew,Harper,61.7532,23.4545,77
,,44,Shirley,Weber,54.9439,19.5357,196
10,Assembly Standing Committee on Environmental Safety and Toxic Materials
,,47,Brian,Dahle,172.3810,57.7619,21
,,17377,Joaquin,Arambula,166.6667,52.0000,3
,,27,Adam,Gray,145.5000,49.8333,6
,,9,Luis,Alejo,83.1930,29.8363,171
,,22,Kevin,McCarty,63.4667,23.7333,15
11,Assembly Standing Committee on Governmental Organization
,,45,Ken,Cooley,183.9091,63.3636,11
,,38,Eduardo,Garcia,107.6667,42.6000,15
,,8,Marc,Levine,81.0526,29.6316,38
,,87,Reginald,Jones-Sawyer,72.6596,28.6809,47
,,29,Marie,Waldron,61.2000,27.0667,15
,,21,Jim,Cooper,58.8974,17.9872,78
,,34,Rudy,Salas,54.5333,18.3333,30
,,112,Cristina,Garcia,46.0000,16.4444,9
,,27,Adam,Gray,44.6874,19.5009,563
,,76,Nora,Campos,40.5714,14.1429,7
,,39,Eric,Linder,35.8542,15.1667,48
,,28,Mike,Gipson,34.7174,14.1522,46
,,91,Frank,Bigelow,34.0619,14.0708,113
,,19,Scott,Wilk,26.6667,9.5000,6
,,35,Marc,Steinorth,26.0000,14.3333,9
,,118,Tom,Daly,25.7143,8.8571,7
12,Assembly Standing Committee on Health
,,7,David,Chiu,151.4851,51.4851,101
,,3,Susan,Bonilla,97.5263,36.9474,76
,,80,Jimmy,Gomez,93.7419,45.6129,31
,,4,Tony,Thurmond,92.1648,30.8571,91
,,29,Marie,Waldron,90.3900,35.8200,100
,,69,Freddie,Rodriguez,80.0290,23.7536,69
,,76,Nora,Campos,78.4286,31.1429,7
,,35,Marc,Steinorth,72.6667,24.7778,9
,,36,Adrin,Nazarian,63.2533,27.0133,75
,,15,Kristin,Olsen,56.0889,20.2222,45
,,119,Jim,Patterson,55.1017,24.9492,59
,,17,Miguel,Santiago,52.1429,18.2857,7
,,67,Sebastian,Ridley-Thomas,46.0763,18.1356,236
,,6,Autumn,Burke,43.3380,14.3662,71
,,72,Jim,Wood,36.7351,15.0950,1242
,,10,Tom,Lackey,35.9412,13.5490,51
,,84,Brian,Maienschein,26.2755,10.9094,265
13,Assembly Standing Committee on Higher Education
,,17,Miguel,Santiago,350.1667,115.1667,6
,,44,Shirley,Weber,170.6373,54.6961,102
,,87,Reginald,Jones-Sawyer,128.0000,44.6000,15
,,12,Das,Williams,123.7377,56.9016,61
,,39,Eric,Linder,96.5000,34.0000,16
,,15,Kristin,Olsen,91.2571,31.4571,35
,,83,Rocky,Chavez,87.9355,33.8280,93
,,11,Evan,Low,83.5926,31.3704,27
,,2,Richard,Bloom,70.3529,28.7647,17
,,8,Marc,Levine,68.1538,24.5769,26
,,74,Catharine,Baker,57.2552,20.0690,145
,,16,Jacqui,Irwin,51.3529,19.4706,34
,,81,Jose,Medina,31.2645,16.0654,673
14,Assembly Standing Committee on Housing and Community Development
,,31,Kevin,Mullin,74.4000,22.8000,5
,,35,Marc,Steinorth,60.6061,18.0152,66
,,7,David,Chiu,59.9150,20.4248,153
,,89,Patty,Lopez,31.3529,12.5882,17
,,109,Beth,Gaines,28.0000,10.2000,5
,,116,Ed,Chau,26.5040,11.4747,375
,,6,Autumn,Burke,19.0000,6.1667,6
15,Assembly Standing Committee on Human Services
,,20,Mark,Stone,117.4571,39.8571,35
,,4,Tony,Thurmond,93.7536,30.8841,69
,,77,Shannon,Grove,88.0806,27.8710,62
,,84,Brian,Maienschein,37.5455,16.2727,11
,,17377,Joaquin,Arambula,34.5000,12.0000,2
,,89,Patty,Lopez,34.3191,14.6809,47
,,3,Susan,Bonilla,22.4987,12.3147,375
16,Assembly Standing Committee on Insurance
,,45,Ken,Cooley,200.5333,70.6000,15
,,50,Matthew,Dababneh,167.4286,47.4286,7
,,43,Travis,Allen,135.2308,43.0769,13
,,32,Kansen,Chu,127.0000,54.0000,1
,,115,Ian,Calderon,110.4000,37.3000,10
,,47,Brian,Dahle,99.0000,28.3333,3
,,21,Jim,Cooper,76.0625,20.2500,16
,,46,Mike,Gatto,66.8276,24.9310,29
,,114,Jim,Frazier,65.7647,25.3529,17
,,69,Freddie,Rodriguez,65.0000,19.3000,10
,,41,Melissa,Melendez,34.6000,13.8000,5
,,118,Tom,Daly,21.6158,10.1613,341
18,Assembly Standing Committee on Judiciary
,,9,Luis,Alejo,153.8310,52.7324,71
,,78,Chris,Holden,143.3548,60.7419,31
,,7,David,Chiu,111.8899,40.4404,109
,,108,James,Gallagher,104.7500,39.0204,196
,,30,Philip,Ting,98.7407,35.6667,27
,,84,Brian,Maienschein,88.4444,32.5873,63
,,112,Cristina,Garcia,79.5476,26.8452,84
,,88,Donald,Wagner,65.5866,25.8723,329
,,116,Ed,Chau,63.9667,25.4000,30
,,20,Mark,Stone,30.7106,12.2452,1876
19,Assembly Standing Committee on Labor and Employment
,,22,Kevin,McCarty,105.1176,36.6471,17
,,119,Jim,Patterson,68.7865,32.6966,89
,,32,Kansen,Chu,58.6875,29.3750,16
,,4,Tony,Thurmond,58.5281,20.8315,89
20,Assembly Standing Committee on Local Government
,,45,Ken,Cooley,160.6250,56.7813,32
,,9,Luis,Alejo,139.1290,46.6452,31
,,7,David,Chiu,99.5238,34.6429,42
,,3,Susan,Bonilla,86.1500,32.4500,20
,,39,Eric,Linder,67.1944,25.0833,36
,,117,Richard,Gordon,51.4906,23.3019,53
,,29,Marie,Waldron,47.9167,20.5417,72
,,109,Beth,Gaines,34.8571,14.0000,7
,,73,Susan,Eggman,23.1911,9.6058,586
21,Assembly Standing Committee on Natural Resources
,,80,Jimmy,Gomez,126.7059,50.9412,17
,,112,Cristina,Garcia,90.9322,28.3220,59
,,42,Brian,Jones,83.7581,32.5484,62
,,22,Kevin,McCarty,82.4043,29.0426,47
,,40,David,Hadley,75.0899,32.1236,89
,,20,Mark,Stone,74.0796,26.4779,113
,,14,Matthew,Harper,63.6364,24.3788,66
,,72,Jim,Wood,54.5577,20.0962,52
,,12,Das,Williams,29.0187,14.5510,1176
22,Assembly Standing Committee on Privacy and Consumer Protection
,,11,Evan,Low,227.5000,69.7500,4
,,117,Richard,Gordon,114.9355,46.8710,31
,,50,Matthew,Dababneh,101.6500,31.2250,40
,,21,Jim,Cooper,87.7973,25.6486,74
,,115,Ian,Calderon,76.3462,26.8077,26
,,74,Catharine,Baker,72.2222,23.0000,27
,,46,Mike,Gatto,59.6553,21.8638,235
,,116,Ed,Chau,55.7150,25.4450,200
,,18,Ling,Chang,48.1875,18.0000,16
,,15,Kristin,Olsen,44.6667,15.9444,18
,,19,Scott,Wilk,24.1406,9.3906,128
23,"Assembly Standing Committee on Public Employees, Retirement, and Social Security"
,,29,Marie,Waldron,225.5000,91.5000,4
,,45,Ken,Cooley,123.3750,46.0000,8
,,85,Rob,Bonta,34.8846,13.6667,78
,,88,Donald,Wagner,2.5000,1.5000,2
,,113,Patrick,O'Donnell,1.0000,2.0000,2
24,Assembly Standing Committee on Public Safety
,,17,Miguel,Santiago,120.7917,39.7083,24
,,10,Tom,Lackey,88.9559,39.6765,68
,,41,Melissa,Melendez,72.2883,29.6564,163
,,87,Reginald,Jones-Sawyer,34.5865,15.7556,757
,,89,Patty,Lopez,19.4167,8.0833,12
25,Assembly Standing Committee on Revenue and Taxation
,,31,Kevin,Mullin,200.0000,69.3333,3
,,50,Matthew,Dababneh,177.0000,52.5000,8
,,119,Jim,Patterson,84.0769,32.8462,13
,,28,Mike,Gipson,72.8182,27.8636,22
,,23,Bill,Quirk,65.8667,26.4000,15
,,111,William,Brough,38.5455,13.1818,11
,,67,Sebastian,Ridley-Thomas,34.1301,14.8293,246
,,88,Donald,Wagner,31.3333,10.0000,3
,,113,Patrick,O'Donnell,31.0000,11.2500,8
26,Assembly Standing Committee on Rules
,,45,Ken,Cooley,368.6000,138.4000,5
,,18,Ling,Chang,292.5000,127.0000,2
,,17377,Joaquin,Arambula,261.0000,81.0000,1
,,78,Chris,Holden,190.3333,72.3333,3
,,29,Marie,Waldron,76.3333,31.1111,9
,,117,Richard,Gordon,41.3226,20.6129,31
,,80,Jimmy,Gomez,2.0000,1.0000,1
27,Assembly Standing Committee on Transportation
,,74,Catharine,Baker,96.7126,30.2874,87
,,2,Richard,Bloom,84.9024,36.5122,41
,,38,Eduardo,Garcia,82.2105,31.3158,19
,,75,Devon,Mathis,63.5789,23.8947,19
,,113,Patrick,O'Donnell,53.5638,17.2979,94
,,71,Bill,Dodd,51.8958,21.9583,48
,,82,Young,Kim,50.4091,23.6591,44
,,41,Melissa,Melendez,49.6232,17.7391,69
,,36,Adrin,Nazarian,48.6316,20.0175,57
,,39,Eric,Linder,44.5930,16.7674,86
,,114,Jim,Frazier,42.9629,17.0153,1376
,,13,Cheryl,Brown,41.3881,23.9701,67
,,32,Kansen,Chu,32.2157,15.4902,51
,,81,Jose,Medina,27.4839,12.0000,31
,,118,Tom,Daly,26.0250,11.2500,40
,,80,Jimmy,Gomez,22.5862,9.5172,29
28,Assembly Standing Committee on Utilities and Commerce
,,73,Susan,Eggman,117.3333,36.9167,12
,,40,David,Hadley,111.9538,48.4308,65
,,17,Miguel,Santiago,103.0000,31.2857,7
,,12,Das,Williams,97.4528,43.2264,53
,,47,Brian,Dahle,97.1892,31.7568,37
,,112,Cristina,Garcia,95.4545,31.0455,44
,,30,Philip,Ting,91.0000,33.6471,34
,,86,Jay,Obernolte,83.0000,27.5227,88
,,6,Autumn,Burke,82.6389,26.1667,36
,,38,Eduardo,Garcia,81.5714,29.5714,7
,,23,Bill,Quirk,57.0422,24.3012,166
,,119,Jim,Patterson,57.0120,25.7771,166
,,83,Rocky,Chavez,50.8750,19.3125,32
,,46,Mike,Gatto,46.9131,17.1261,587
29,Assembly Standing Committee on Veterans Affairs
,,17377,Joaquin,Arambula,74.0000,25.5000,2
,,83,Rocky,Chavez,73.7324,27.6056,71
,,114,Jim,Frazier,57.6471,22.7353,34
,,5,"K.H. ""Katcho""",Achadjian,46.2500,13.5000,4
,,75,Devon,Mathis,46.0635,18.5714,126
,,34,Rudy,Salas,41.3333,12.7619,21
,,16,Jacqui,Irwin,39.9688,17.0341,352
,,118,Tom,Daly,25.4444,10.5000,18
,,9,Luis,Alejo,1.0000,4.0000,1
30,"Assembly Standing Committee on Water, Parks, and Wildlife"
,,73,Susan,Eggman,272.7778,97.2222,9
,,80,Jimmy,Gomez,116.5000,43.0833,12
,,71,Bill,Dodd,102.2222,40.5556,27
,,12,Das,Williams,95.2857,43.3333,21
,,75,Devon,Mathis,78.8077,29.8462,26
,,112,Cristina,Garcia,73.5000,21.0000,6
,,15,Kristin,Olsen,72.0476,21.9524,21
,,81,Jose,Medina,70.3333,32.0000,6
,,108,James,Gallagher,61.3333,26.0370,54
,,38,Eduardo,Garcia,53.5000,19.0000,6
,,14,Matthew,Harper,52.1250,19.5000,8
,,34,Rudy,Salas,51.6429,17.1429,14
,,91,Frank,Bigelow,47.7838,19.2793,111
,,8,Marc,Levine,38.7605,15.3638,547
,,89,Patty,Lopez,27.1250,11.2500,8
31,Assembly Budget Subcommittee No. 1 on Health and Human Services
,,30,Philip,Ting,275.3333,95.6667,3
,,77,Shannon,Grove,63.8462,20.1859,156
,,7,David,Chiu,59.6667,20.8121,282
,,86,Jay,Obernolte,51.0000,15.0000,1
,,85,Rob,Bonta,46.3571,17.7460,126
,,4,Tony,Thurmond,36.5766,14.0989,1991
,,14,Matthew,Harper,12.8676,6.6765,68
32,Assembly Budget Subcommittee No. 2 on Education Finance
,,30,Philip,Ting,64.3235,23.2059,170
,,82,Young,Kim,62.7625,27.6750,80
,,83,Rocky,Chavez,51.7247,19.0817,465
,,113,Patrick,O'Donnell,49.7016,15.7539,191
,,16,Jacqui,Irwin,45.9535,18.5349,43
,,22,Kevin,McCarty,41.1575,17.4606,1498
,,86,Jay,Obernolte,18.5000,7.5000,2
33,Assembly Budget Subcommittee No. 3 on Resources and Transportation
,,91,Frank,Bigelow,84.0938,30.7500,32
,,12,Das,Williams,54.2270,25.1348,141
,,119,Jim,Patterson,52.2281,23.8947,171
,,117,Richard,Gordon,49.1128,23.2632,133
,,86,Jay,Obernolte,49.0273,15.9636,110
,,2,Richard,Bloom,35.9863,16.6604,951
34,Assembly Budget Subcommittee No. 4 on State Administration
,,31,Kevin,Mullin,76.8627,31.5490,51
,,43,Travis,Allen,57.7273,22.6364,11
,,21,Jim,Cooper,38.7955,11.7045,44
,,19,Scott,Wilk,35.4583,11.3750,24
,,36,Adrin,Nazarian,34.3063,17.4726,457
,,30,Philip,Ting,32.1343,12.3433,67
35,Assembly Budget Subcommittee No. 5 on Public Safety
,,78,Chris,Holden,49.7778,19.1111,18
,,10,Tom,Lackey,44.3103,17.6207,29
,,69,Freddie,Rodriguez,38.1250,13.7813,32
,,76,Nora,Campos,34.9944,15.4633,177
36,Assembly Budget Subcommittee No. 6 on Budget Process Oversight and Program Evaluation
,,36,Adrin,Nazarian,272.0000,108.0000,1
,,119,Jim,Patterson,188.7500,70.2500,4
,,2,Richard,Bloom,184.0000,66.0000,1
,,22,Kevin,McCarty,155.8333,52.3333,6
,,4,Tony,Thurmond,131.2222,42.0000,9
37,Joint Committee on Arts
,,2,Richard,Bloom,204.0000,94.0000,1
,,40,David,Hadley,110.5000,40.0000,2
,,70,Benjamin,Allen,96.4167,32.8333,36
,,86,Jay,Obernolte,44.0000,12.0000,1
39,Joint Committee on Fisheries and Aquaculture
,,72,Jim,Wood,206.8000,62.8000,5
,,30,Philip,Ting,110.6000,39.0000,5
,,93,Mike,McGuire,100.0361,35.2165,194
,,5,"K.H. ""Katcho""",Achadjian,25.0000,9.0000,1
41,Joint Legislative Audit Committee
,,61,Anthony,Cannella,243.0000,69.0000,1
,,72,Jim,Wood,201.4000,67.3333,15
,,74,Catharine,Baker,117.6129,39.2258,31
,,42,Brian,Jones,112.0952,40.3810,21
,,49,Jean,Fuller,95.5000,34.5000,2
,,92,Jim,Beall,94.7857,47.1429,14
,,95,Cathleen,Galgiani,79.8235,29.2941,17
,,5,"K.H. ""Katcho""",Achadjian,79.5000,30.0000,2
,,107,Ricardo,Lara,64.2188,23.6875,32
,,106,Richard,Roth,63.8780,24.6341,82
,,62,Connie,Leyva,53.6250,17.0000,8
,,76,Nora,Campos,47.4000,17.9000,10
,,28,Mike,Gipson,39.2186,18.6463,311
42,Joint Legislative Budget
,,60,Mark,Leno,40.4800,14.6000,25
,,85,Rob,Bonta,15.5000,5.0000,2
,,44,Shirley,Weber,11.0000,2.5000,2
,,107,Ricardo,Lara,9.0000,5.0000,1
43,Joint Legislative Committee on Emergency Management
,,10,Tom,Lackey,132.0000,55.3333,3
,,58,Pat,Bates,110.1250,40.1250,8
,,69,Freddie,Rodriguez,105.9444,46.3611,36
,,96,Richard,Pan,94.6818,33.0000,22
,,106,Richard,Roth,76.6667,26.5333,15
,,100,Hannah-Beth,Jackson,56.5128,22.7949,39
,,21,Jim,Cooper,50.0000,15.0000,2
45,Senate Standing Committee on Agriculture
,,96,Richard,Pan,91.0000,30.3333,6
,,94,Lois,Wolk,46.6667,17.6667,3
,,95,Cathleen,Galgiani,38.3647,17.5882,85
,,54,Tom,Berryhill,33.1667,12.2083,24
,,61,Anthony,Cannella,15.6667,6.0000,6
46,Senate Standing Committee on Appropriations
,,93,Mike,McGuire,205.0000,72.9767,43
,,92,Jim,Beall,114.4653,50.0990,101
,,66,Jerry,Hill,92.7234,32.7021,47
,,52,Tony,Mendoza,72.9500,24.4500,20
,,68,Jim,Nielsen,67.1290,26.3935,155
,,58,Pat,Bates,30.0859,12.6343,361
,,107,Ricardo,Lara,28.6892,12.4109,3945
47,Senate Standing Committee on Banking and Financial Institutions
,,48,Ben,Hueso,64.6667,28.6667,3
,,10481,Steve,Glazer,53.2667,25.2000,60
,,95,Cathleen,Galgiani,47.8667,17.8000,15
,,107,Ricardo,Lara,31.6667,10.6667,3
,,56,Andy,Vidak,26.6000,9.6000,10
,,1,Isadore,Hall,14.0000,10.0000,1
48,Senate Standing Committee on Budget and Fiscal Review
,,65,Janet,Nguyen,168.8333,65.7222,36
,,96,Richard,Pan,142.0583,48.6750,120
,,59,Marty,Block,115.0000,41.7755,49
,,26,Jeff,Stone,112.8813,41.7188,160
,,104,Fran,Pavley,100.1868,43.7363,91
,,106,Richard,Roth,98.2914,38.0530,151
,,98,Loni,Hancock,96.5596,46.8716,109
,,64,Holly,Mitchell,95.4351,37.4809,131
,,94,Lois,Wolk,94.6500,42.7375,80
,,92,Jim,Beall,80.8765,35.7037,81
,,68,Jim,Nielsen,79.0337,31.8451,297
,,10481,Steve,Glazer,76.2034,26.0169,59
,,25,Bill,Monning,74.9688,33.7813,64
,,57,Joel,Anderson,73.2727,27.6364,22
,,70,Benjamin,Allen,69.0260,25.2597,77
,,4657,John,Moorlach,43.5280,16.7063,286
,,60,Mark,Leno,38.1597,16.0957,2236
49,"Senate Standing Committee on Business, Professions and Economic Development"
,,55,Bob,Wieckowski,83.2552,32.7517,145
,,52,Tony,Mendoza,79.1935,25.8710,31
,,100,Hannah-Beth,Jackson,78.9281,30.2614,153
,,95,Cathleen,Galgiani,77.4286,28.4524,42
,,103,Ed,Hernandez,65.4930,23.7746,71
,,59,Marty,Block,60.7290,22.1028,107
,,24,Ted,Gaines,39.3000,14.9000,10
,,66,Jerry,Hill,36.3096,14.5840,2125
,,58,Pat,Bates,33.7863,13.9656,262
50,Senate Standing Committee on Education
,,96,Richard,Pan,122.4401,44.3873,284
,,105,Bob,Huff,99.6963,33.9720,214
,,59,Marty,Block,94.1759,36.7588,199
,,52,Tony,Mendoza,85.0412,27.9897,97
,,98,Loni,Hancock,62.9813,30.3881,268
,,62,Connie,Leyva,62.6614,21.1339,127
,,25,Bill,Monning,57.1714,25.8400,175
,,56,Andy,Vidak,26.0256,9.5000,78
,,63,Carol,Liu,20.2357,10.1206,3343
51,Senate Standing Committee on Elections and Constitutional Amendments
,,99,Robert,Hertzberg,153.4730,47.9865,74
,,57,Joel,Anderson,71.2414,27.7356,87
,,98,Loni,Hancock,53.3443,24.6721,61
,,70,Benjamin,Allen,44.8871,16.4462,558
,,63,Carol,Liu,12.8333,5.6667,6
52,"Senate Standing Committee on Energy, Utilities and Communications"
,,93,Mike,McGuire,147.4810,54.1772,79
,,66,Jerry,Hill,119.6981,43.0472,106
,,99,Robert,Hertzberg,95.7340,29.6968,188
,,104,Fran,Pavley,66.9350,28.4553,123
,,61,Anthony,Cannella,48.6757,18.0541,74
,,48,Ben,Hueso,44.7610,20.6008,1205
,,94,Lois,Wolk,38.7246,16.8406,69
,,24,Ted,Gaines,33.2500,13.1667,24
,,62,Connie,Leyva,31.5395,10.9474,76
,,51,Mike,Morrell,29.7978,12.1573,89
,,107,Ricardo,Lara,24.9672,10.0820,61
53,Senate Standing Committee on Environmental Quality
,,100,Hannah-Beth,Jackson,104.7067,40.5800,150
,,58,Pat,Bates,82.8308,30.0615,65
,,104,Fran,Pavley,66.4787,27.7340,188
,,66,Jerry,Hill,64.6222,25.9111,90
,,60,Mark,Leno,47.8801,20.2285,267
,,55,Bob,Wieckowski,32.2580,14.3255,1438
,,24,Ted,Gaines,31.8500,12.5100,100
54,Senate Standing Committee on Governance and Finance
,,92,Jim,Beall,77.3362,33.6250,232
,,107,Ricardo,Lara,74.3363,33.2655,113
,,65,Janet,Nguyen,58.3200,22.9920,125
,,103,Ed,Hernandez,46.9184,15.5714,98
,,4657,John,Moorlach,41.3690,15.0433,393
,,104,Fran,Pavley,37.8261,15.6348,230
,,99,Robert,Hertzberg,34.6268,12.0590,2441
55,Senate Standing Committee on Governmental Organization
,,48,Ben,Hueso,149.6970,61.5758,33
,,58,Pat,Bates,128.6667,42.6667,3
,,95,Cathleen,Galgiani,122.2727,46.2727,11
,,93,Mike,McGuire,93.7353,33.7353,34
,,66,Jerry,Hill,76.6944,27.0278,36
,,107,Ricardo,Lara,73.2632,28.7895,38
,,10481,Steve,Glazer,65.7353,21.6471,34
,,103,Ed,Hernandez,55.8519,19.0741,27
,,56,Andy,Vidak,55.3000,19.1000,10
,,59,Marty,Block,52.8333,17.7500,12
,,54,Tom,Berryhill,46.0448,17.5821,67
,,24,Ted,Gaines,41.0392,16.7451,51
,,1,Isadore,Hall,25.1359,12.3019,1133
56,Senate Standing Committee on Health
,,96,Richard,Pan,136.0508,47.7322,295
,,68,Jim,Nielsen,75.2105,28.7263,95
,,25,Bill,Monning,66.9259,29.3380,216
,,65,Janet,Nguyen,61.0909,24.1039,231
,,64,Holly,Mitchell,54.5086,21.9526,232
,,106,Richard,Roth,43.1901,17.3878,263
,,94,Lois,Wolk,37.4671,16.3553,152
,,1,Isadore,Hall,33.3140,15.4070,86
,,103,Ed,Hernandez,32.2771,13.3179,2400
57,Senate Standing Committee on Human Services
,,93,Mike,McGuire,63.0457,22.3606,832
,,98,Loni,Hancock,61.5781,29.9375,64
,,65,Janet,Nguyen,50.5185,19.2963,27
,,63,Carol,Liu,32.9500,14.3500,40
,,54,Tom,Berryhill,20.1553,9.4286,161
58,Senate Standing Committee on Insurance
,,55,Bob,Wieckowski,71.2500,29.5000,12
,,10481,Steve,Glazer,51.4737,17.2105,19
,,24,Ted,Gaines,42.0000,18.0000,10
,,106,Richard,Roth,28.8761,12.5929,113
,,54,Tom,Berryhill,11.7143,5.0000,7
,,103,Ed,Hernandez,1.0000,1.0000,1
59,Senate Standing Committee on Judiciary
,,25,Bill,Monning,96.6527,44.0898,167
,,99,Robert,Hertzberg,96.1587,30.3798,208
